hhid,idenho_1,getnicoh
1,Otro Maya,Indigenas
2,No indigena,No Indigenas
3,No indigena,No Indigenas
4,No indigena,No Indigenas
5,No indigena,No Indigenas
6,No indigena,No Indigenas
7,No indigena,No Indigenas
8,Kaqchiquel,Indigenas
9,No indigena,No Indigenas
10,No indigena,No Indigenas
11,No indigena,No Indigenas
12,No indigena,No Indigenas
13,No indigena,No Indigenas
14,No indigena,No Indigenas
15,No indigena,No Indigenas
16,No indigena,No Indigenas
17,No indigena,No Indigenas
18,No indigena,No Indigenas
19,No indigena,No Indigenas
20,No indigena,No Indigenas
21,No indigena,No Indigenas
22,No indigena,No Indigenas
23,Kaqchiquel,Indigenas
24,Kaqchiquel,Indigenas
25,No indigena,No Indigenas
26,No indigena,No Indigenas
27,No indigena,No Indigenas
28,No indigena,No Indigenas
29,No indigena,No Indigenas
30,No indigena,No Indigenas
31,No indigena,No Indigenas
32,No indigena,No Indigenas
33,No indigena,No Indigenas
34,No indigena,No Indigenas
35,No indigena,No Indigenas
36,No indigena,No Indigenas
37,No indigena,No Indigenas
38,No indigena,No Indigenas
39,No indigena,No Indigenas
40,No indigena,No Indigenas
41,No indigena,No Indigenas
42,No indigena,No Indigenas
43,No indigena,No Indigenas
44,No indigena,No Indigenas
45,No indigena,No Indigenas
46,No indigena,No Indigenas
47,No indigena,No Indigenas
48,No indigena,No Indigenas
49,No indigena,No Indigenas
50,No indigena,No Indigenas
51,No indigena,No Indigenas
52,No indigena,No Indigenas
53,No indigena,No Indigenas
54,No indigena,No Indigenas
55,No indigena,No Indigenas
56,No indigena,No Indigenas
57,No indigena,No Indigenas
58,No indigena,No Indigenas
59,No indigena,No Indigenas
60,No indigena,No Indigenas
61,No indigena,No Indigenas
62,No indigena,No Indigenas
63,No indigena,No Indigenas
64,No indigena,No Indigenas
65,Kaqchiquel,Indigenas
66,No indigena,No Indigenas
67,No indigena,No Indigenas
68,Otro Maya,Indigenas
69,No indigena,No Indigenas
70,No indigena,No Indigenas
71,No indigena,No Indigenas
72,No indigena,No Indigenas
73,No indigena,No Indigenas
74,No indigena,No Indigenas
75,No indigena,No Indigenas
76,No indigena,No Indigenas
77,No indigena,No Indigenas
78,No indigena,No Indigenas
79,Otro País,No Indigenas
80,No indigena,No Indigenas
81,No indigena,No Indigenas
82,No indigena,No Indigenas
83,No indigena,No Indigenas
84,No indigena,No Indigenas
85,No indigena,No Indigenas
86,No indigena,No Indigenas
87,K'iche,Indigenas
88,No indigena,No Indigenas
89,No indigena,No Indigenas
90,No indigena,No Indigenas
91,No indigena,No Indigenas
92,No indigena,No Indigenas
93,No indigena,No Indigenas
94,No indigena,No Indigenas
95,No indigena,No Indigenas
96,No indigena,No Indigenas
97,No indigena,No Indigenas
98,No indigena,No Indigenas
99,No indigena,No Indigenas
100,No indigena,No Indigenas
101,No indigena,No Indigenas
102,No indigena,No Indigenas
103,No indigena,No Indigenas
104,Kaqchiquel,Indigenas
105,No indigena,No Indigenas
106,No indigena,No Indigenas
107,No indigena,No Indigenas
108,Otro Maya,Indigenas
109,No indigena,No Indigenas
110,No indigena,No Indigenas
111,No indigena,No Indigenas
112,Q'ueqchi,Indigenas
113,No indigena,No Indigenas
114,No indigena,No Indigenas
115,No indigena,No Indigenas
116,No indigena,No Indigenas
117,No indigena,No Indigenas
118,No indigena,No Indigenas
119,No indigena,No Indigenas
120,No indigena,No Indigenas
121,No indigena,No Indigenas
122,No indigena,No Indigenas
123,No indigena,No Indigenas
124,No indigena,No Indigenas
125,No indigena,No Indigenas
126,No indigena,No Indigenas
127,No indigena,No Indigenas
128,No indigena,No Indigenas
129,No indigena,No Indigenas
130,Kaqchiquel,Indigenas
131,Q'ueqchi,Indigenas
132,No indigena,No Indigenas
133,No indigena,No Indigenas
134,No indigena,No Indigenas
135,No indigena,No Indigenas
136,No indigena,No Indigenas
137,No indigena,No Indigenas
138,No indigena,No Indigenas
139,No indigena,No Indigenas
140,No indigena,No Indigenas
141,Otro Maya,Indigenas
142,Otro Maya,Indigenas
143,Otro Maya,Indigenas
144,Otro Maya,Indigenas
145,No indigena,No Indigenas
146,No indigena,No Indigenas
147,No indigena,No Indigenas
148,No indigena,No Indigenas
149,Kaqchiquel,Indigenas
150,Otro Maya,Indigenas
151,No indigena,No Indigenas
152,No indigena,No Indigenas
153,K'iche,Indigenas
154,No indigena,No Indigenas
155,No indigena,No Indigenas
156,No indigena,No Indigenas
157,No indigena,No Indigenas
158,No indigena,No Indigenas
159,No indigena,No Indigenas
160,No indigena,No Indigenas
161,No indigena,No Indigenas
162,No indigena,No Indigenas
163,No indigena,No Indigenas
164,No indigena,No Indigenas
165,No indigena,No Indigenas
166,No indigena,No Indigenas
167,No indigena,No Indigenas
168,No indigena,No Indigenas
169,No indigena,No Indigenas
170,Otro País,No Indigenas
171,Otro País,No Indigenas
172,No indigena,No Indigenas
173,No indigena,No Indigenas
174,No indigena,No Indigenas
175,Otro País,No Indigenas
176,No indigena,No Indigenas
177,No indigena,No Indigenas
178,No indigena,No Indigenas
179,Otro País,No Indigenas
180,No indigena,No Indigenas
181,No indigena,No Indigenas
182,Otro País,No Indigenas
183,No indigena,No Indigenas
184,No indigena,No Indigenas
185,No indigena,No Indigenas
