depto,mupio,sector,hhid,upm2,agreg3,consumption_per_capita_per_day
guatemala,3,3,1,1031003.0,11687.0078125,22.024103900486367
guatemala,3,3,2,1031003.0,10821.22265625,20.39253639042154
guatemala,3,3,3,1031003.0,11324.982421875,21.341868982391144
guatemala,3,3,4,1031003.0,59760.890625,112.61907970172342
guatemala,3,3,5,1031003.0,32664.03125,61.55519270632246
guatemala,3,3,6,1031003.0,7539.39501953125,14.207949709708101
guatemala,3,3,7,1031003.0,10052.595703125,18.944062996039673
guatemala,3,3,8,1031003.0,14098.748046875,26.569015511313474
guatemala,5,28,9,1051028.0,33957.43359375,63.99260252591846
guatemala,5,28,10,1051028.0,20835.296875,39.2640058545763
guatemala,5,28,11,1051028.0,19900.212890625,37.50184507245303
guatemala,5,28,12,1051028.0,25893.126953125,48.79545966540433
guatemala,5,28,13,1051028.0,29989.326171875,56.51472524973552
guatemala,5,28,14,1051028.0,37980.20703125,71.57349761703455
guatemala,5,50,15,1051050.0,13436.9609375,25.321881232744037
guatemala,5,50,16,1051050.0,75957.7890625,143.14204843556718
guatemala,5,50,17,1051050.0,32175.58984375,60.63472748090832
guatemala,5,50,18,1051050.0,27271.939453125,51.393824468995014
guatemala,5,50,19,1051050.0,19806.181640625,37.32464368325933
guatemala,5,50,20,1051050.0,34928.8125,65.82316089476876
guatemala,5,50,21,1051050.0,15888.2080078125,29.941243265221104
guatemala,5,50,22,1051050.0,33509.45703125,63.14839308276825
guatemala,5,50,23,1051050.0,29144.751953125,54.923129638279946
guatemala,5,52,24,1051052.0,4698.9453125,8.855137383797603
guatemala,5,52,25,1051052.0,20864.8046875,39.31961316987911
guatemala,5,52,26,1051052.0,16300.9228515625,30.719002187423673
guatemala,5,52,27,1051052.0,33321.90625,62.79495463563644
guatemala,5,52,28,1051052.0,39002.84375,73.50065106020357
guatemala,5,52,29,1051052.0,24943.099609375,47.005138202225865
guatemala,5,52,30,1051052.0,32995.7734375,62.180359089616914
guatemala,5,52,31,1051052.0,6191.291015625,11.66745490324988
guatemala,5,52,32,1051052.0,18237.904296875,34.36923339196252
guatemala,5,52,33,1051052.0,9942.197265625,18.736017729281937
guatemala,5,52,34,1051052.0,33791.69921875,63.68027698002654
guatemala,5,52,35,1051052.0,28689.1875,54.06462085571013
guatemala,6,8,36,1061008.0,2775.22509765625,5.229896897360243
guatemala,6,8,37,1061008.0,12816.28515625,24.152221032795786
guatemala,6,8,38,1061008.0,8350.076171875,15.735674018259365
guatemala,6,8,39,1061008.0,25131.84375,47.360825528736164
guatemala,6,8,40,1061008.0,18405.548828125,34.68515861712145
guatemala,6,8,41,1061008.0,5008.05810546875,9.437658793771485
guatemala,6,8,42,1061008.0,12030.759765625,22.671902623057825
guatemala,6,8,43,1061008.0,8686.912109375,16.370439546265874
guatemala,6,8,44,1061008.0,9597.56640625,18.08656271256921
guatemala,6,8,45,1061008.0,7145.11328125,13.464927876464966
guatemala,6,18,46,1061018.0,19799.560546875,37.31216626739512
guatemala,6,18,47,1061018.0,15844.361328125,29.858614431166934
guatemala,6,18,48,1061018.0,27345.1640625,51.53181585488445
guatemala,6,18,49,1061018.0,94126.1171875,177.38016590265335
guatemala,6,18,50,1061018.0,38117.6484375,71.83250521419225
guatemala,6,18,51,1061018.0,9447.892578125,17.804503181618713
guatemala,6,18,52,1061018.0,10479.7900390625,19.749108444056205
guatemala,6,18,53,1061018.0,15532.1552734375,29.2702637859792
guatemala,6,46,54,1061046.0,9161.6083984375,17.265002171637423
guatemala,6,46,55,1061046.0,9072.83203125,17.097703581081678
guatemala,6,46,56,1061046.0,16234.6435546875,30.594099205903895
guatemala,6,46,57,1061046.0,15552.53125,29.308662205154246
guatemala,6,46,58,1061046.0,11687.93359375,22.025848530315173
guatemala,6,46,59,1061046.0,21361.46484375,40.255566585840924
guatemala,6,46,60,1061046.0,20078.4609375,37.83775256626294
guatemala,6,46,61,1061046.0,11101.56640625,20.92084269233469
guatemala,6,46,62,1061046.0,8636.8818359375,16.276157762764477
guatemala,6,78,63,1061078.0,7766.81982421875,14.636530541375562
guatemala,6,78,64,1061078.0,5788.0517578125,10.907552672216994
guatemala,6,78,65,1061078.0,9619.580078125,18.12804735982748
guatemala,6,78,66,1061078.0,12493.5322265625,23.54399485791285
guatemala,6,78,67,1061078.0,7640.93310546875,14.399297691195047
guatemala,6,78,68,1061078.0,10271.435546875,19.356465514600597
guatemala,6,78,69,1061078.0,14391.2490234375,27.120232041854
guatemala,7,17,70,1071017.0,26194.052734375,49.36255269545231
guatemala,7,17,71,1071017.0,28462.154296875,53.63677799509895
guatemala,7,17,72,1071017.0,42659.55859375,80.39171068344284
guatemala,7,17,73,1071017.0,18154.994140625,34.212989644636316
guatemala,7,17,74,1071017.0,25882.392578125,48.77523079295899
guatemala,7,17,75,1071017.0,18088.12890625,34.08698246702236
guatemala,7,17,76,1071017.0,33200.0,62.565222957589036
guatemala,7,18,77,1071018.0,43505.62890625,81.98612567559222
guatemala,7,18,78,1071018.0,37754.671875,71.14847781777083
guatemala,7,18,79,1071018.0,15421.6064453125,29.061935108890623
guatemala,7,18,80,1071018.0,22411.119140625,42.23363451091248
guatemala,7,18,81,1071018.0,20726.21484375,39.05844134837681
guatemala,7,18,82,1071018.0,42780.75390625,80.62010260356264
guatemala,7,18,83,1071018.0,18044.271484375,34.00433338937313
guatemala,7,41,84,1071041.0,21718.119140625,40.927679706406174
guatemala,7,41,85,1071041.0,63336.94921875,119.35814305194543
