hhid,has_paved_or_gravel_road,has_dirt_road,has_footpath_no_gravel,has_footpath,has_sea_lake_river,has_train,has_airplane,has_other
1,missing,missing,missing,missing,missing,missing,missing,missing
2,missing,missing,missing,missing,missing,missing,missing,missing
3,missing,missing,missing,missing,missing,missing,missing,missing
4,missing,missing,missing,missing,missing,missing,missing,missing
5,missing,missing,missing,missing,missing,missing,missing,missing
6,missing,missing,missing,missing,missing,missing,missing,missing
7,missing,missing,missing,missing,missing,missing,missing,missing
8,missing,missing,missing,missing,missing,missing,missing,missing
9,missing,missing,missing,missing,missing,missing,missing,missing
10,missing,missing,missing,missing,missing,missing,missing,missing
11,missing,missing,missing,missing,missing,missing,missing,missing
12,missing,missing,missing,missing,missing,missing,missing,missing
13,missing,missing,missing,missing,missing,missing,missing,missing
14,missing,missing,missing,missing,missing,missing,missing,missing
15,si,no,no,no,no,no,no,no
16,si,no,no,no,no,no,no,no
17,si,no,no,no,no,no,no,no
18,si,no,no,no,no,no,no,no
19,si,no,no,no,no,no,no,no
20,si,no,no,no,no,no,no,no
21,si,no,no,no,no,no,no,no
22,si,no,no,no,no,no,no,no
23,si,no,no,no,no,no,no,no
24,missing,missing,missing,missing,missing,missing,missing,missing
25,missing,missing,missing,missing,missing,missing,missing,missing
26,missing,missing,missing,missing,missing,missing,missing,missing
27,missing,missing,missing,missing,missing,missing,missing,missing
28,missing,missing,missing,missing,missing,missing,missing,missing
29,missing,missing,missing,missing,missing,missing,missing,missing
30,missing,missing,missing,missing,missing,missing,missing,missing
31,missing,missing,missing,missing,missing,missing,missing,missing
32,missing,missing,missing,missing,missing,missing,missing,missing
33,missing,missing,missing,missing,missing,missing,missing,missing
34,missing,missing,missing,missing,missing,missing,missing,missing
35,missing,missing,missing,missing,missing,missing,missing,missing
36,no,no,no,si,no,no,no,no
37,no,no,no,si,no,no,no,no
38,no,no,no,si,no,no,no,no
39,no,no,no,si,no,no,no,no
40,no,no,no,si,no,no,no,no
41,no,no,no,si,no,no,no,no
42,no,no,no,si,no,no,no,no
43,no,no,no,si,no,no,no,no
44,no,no,no,si,no,no,no,no
45,no,no,no,si,no,no,no,no
46,si,si,no,no,no,no,no,no
47,si,si,no,no,no,no,no,no
48,si,si,no,no,no,no,no,no
49,si,si,no,no,no,no,no,no
50,si,si,no,no,no,no,no,no
51,si,si,no,no,no,no,no,no
52,si,si,no,no,no,no,no,no
53,si,si,no,no,no,no,no,no
54,missing,missing,missing,missing,missing,missing,missing,missing
55,missing,missing,missing,missing,missing,missing,missing,missing
56,missing,missing,missing,missing,missing,missing,missing,missing
57,missing,missing,missing,missing,missing,missing,missing,missing
58,missing,missing,missing,missing,missing,missing,missing,missing
59,missing,missing,missing,missing,missing,missing,missing,missing
60,missing,missing,missing,missing,missing,missing,missing,missing
61,missing,missing,missing,missing,missing,missing,missing,missing
62,missing,missing,missing,missing,missing,missing,missing,missing
63,si,si,no,no,no,no,no,no
64,si,si,no,no,no,no,no,no
65,si,si,no,no,no,no,no,no
66,si,si,no,no,no,no,no,no
67,si,si,no,no,no,no,no,no
68,si,si,no,no,no,no,no,no
69,si,si,no,no,no,no,no,no
70,si,no,no,no,no,no,no,no
71,si,no,no,no,no,no,no,no
72,si,no,no,no,no,no,no,no
73,si,no,no,no,no,no,no,no
74,si,no,no,no,no,no,no,no
75,si,no,no,no,no,no,no,no
76,si,no,no,no,no,no,no,no
77,missing,missing,missing,missing,missing,missing,missing,missing
78,missing,missing,missing,missing,missing,missing,missing,missing
79,missing,missing,missing,missing,missing,missing,missing,missing
80,missing,missing,missing,missing,missing,missing,missing,missing
81,missing,missing,missing,missing,missing,missing,missing,missing
82,missing,missing,missing,missing,missing,missing,missing,missing
83,missing,missing,missing,missing,missing,missing,missing,missing
84,missing,missing,missing,missing,missing,missing,missing,missing
85,missing,missing,missing,missing,missing,missing,missing,missing
86,missing,missing,missing,missing,missing,missing,missing,missing
87,missing,missing,missing,missing,missing,missing,missing,missing
88,missing,missing,missing,missing,missing,missing,missing,missing
89,missing,missing,missing,missing,missing,missing,missing,missing
90,missing,missing,missing,missing,missing,missing,missing,missing
91,missing,missing,missing,missing,missing,missing,missing,missing
92,missing,missing,missing,missing,missing,missing,missing,missing
93,missing,missing,missing,missing,missing,missing,missing,missing
94,missing,missing,missing,missing,missing,missing,missing,missing
95,missing,missing,missing,missing,missing,missing,missing,missing
