hhid,p01a01,p01a02,p01a03,p01a04,p01a05a,p01a05b,p01a05c,p01a05d,p01a05e,p01a05f,p01a06,p01a07,p01a08,p01a09,p01a10,p01a11,p01a12,p01a13,p01a14,p01a23,p01a25,p01a26,p01a34,p01a35,p01a39,p01a44,p01a45,p01c01
1,casa formal,block,lamina metalica,ladrillo de cemento o barro,si,si,si,si,si,si,2,2,2,0,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,publico,no,la hierven,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing,alquilada
2,casa formal,adobe,lamina metalica,ladrillo de cemento o barro,si,si,si,no,si,si,1,1,1,1,en un cuarto fuera de la vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,privado formal,no,ninguno,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing, propia y totalmente pagada
3,casa formal,block,concreto,ladrillo de cemento o barro,si,si,si,si,si,si,4,3,3,0,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,publico,no,la hierven,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing,cedida o prestada
4,casa formal,block,concreto,ladrillo de cemento o barro,si,si,si,si,si,si,4,4,1,0,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,privado formal,no,la hierven,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing, propia y totalmente pagada
5,casa formal,block,concreto,ladrillo de cemento o barro,si,si,si,si,si,si,6,6,2,3,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,privado formal,no,ninguno,inodoro conectado a red de drenajes,si,empresa publica,no,missing,missing,alquilada
6,casa formal,ladrillo,concreto,ladrillo de cemento o barro,si,si,si,si,si,si,4,4,2,0,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,privado formal,no,la hierven,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing, propia y totalmente pagada
7,casa formal,block,lamina metalica,ladrillo de cemento o barro,si,si,si,si,si,si,5,5,2,0,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,privado formal,no,la hierven,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing,cedida o prestada
8,casa formal,ladrillo,concreto,piso ceramico/granito,si,si,si,si,si,si,4,4,2,0,cuarto dedicado solo para cocinar dentro de vivienda,uso compartido con otros hogares,"tuberia (red), dentro de la vivienda",uso compartido con otros hogares,publico,no,ninguno,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing,alquilada
9,casa formal,block,concreto,ladrillo de cemento o barro,si,si,si,si,si,si,3,3,2,1,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,publico,no,le ponen cloro,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing,alquilada
10,casa formal,ladrillo,concreto,ladrillo de cemento o barro,si,si,si,si,si,si,4,4,4,1,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,privado formal,no,ninguno,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing,alquilada
11,casa formal,ladrillo,concreto,ladrillo de cemento o barro,si,si,si,si,si,si,5,5,5,0,cuarto dedicado solo para cocinar dentro de vivienda,uso exclusivo del hogar,"tuberia (red), dentro de la vivienda",uso exclusivo del hogar,publico,no,ninguno,inodoro conectado a red de drenajes,si,empresa privada,no,missing,missing, propia y totalmente pagada
