hhid,batteries_cooking,batteries_home_business,batteries_household,batteries_other,candles_cooking,candles_home_business,candles_household,candles_other,charcoal_cooking,charcoal_home_business,charcoal_household,charcoal_other,electricity_cooking,electricity_home_business,electricity_household,electricity_other,kerosene_cooking,kerosene_home_business,kerosene_household,kerosene_other,other_energy_cooking,other_energy_home_business,other_energy_household,other_energy_other,propane_gas_cooking,propane_gas_home_business,propane_gas_household,propane_gas_other
1,si,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
2,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
3,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
4,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
5,no,no,si,missing,no,si,no,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
6,si,no,no,missing,si,no,no,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
7,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
8,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
9,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
10,si,no,no,missing,missing,missing,missing,missing,no,no,si,no,no,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
11,si,no,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
12,si,si,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
13,no,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
14,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,si,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
15,si,no,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
16,no,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
17,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
18,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,no,si,si,no,missing,missing,missing,missing,no,si,no,no,no,no,si,missing
19,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
20,no,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
21,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
22,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
23,si,no,no,missing,no,no,si,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
24,no,si,no,missing,si,no,si,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
25,si,no,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
26,si,no,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
27,si,no,si,missing,missing,missing,missing,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
28,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,no,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
29,si,no,no,missing,si,no,no,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
30,si,si,si,missing,missing,missing,missing,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
31,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
32,si,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
33,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
34,si,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,si,si,no,missing,missing,missing,missing,missing,missing,missing,missing,si,no,si,missing
35,si,no,si,missing,missing,missing,missing,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
36,si,no,no,missing,no,no,si,missing,missing,missing,missing,missing,9.0,9.0,9.0,9.0,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
37,si,no,no,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
38,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
39,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
40,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
41,no,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
42,no,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
