hhid,p10d01,p10d03,p10d04,p10d06,p10e05a
1,missing,missing,missing,missing,missing
2,no,missing,missing,missing,missing
3,no,missing,missing,missing,missing
4,missing,missing,missing,missing,missing
5,no,missing,missing,missing,missing
6,no,missing,missing,missing,missing
7,missing,missing,missing,missing,missing
8,no,missing,missing,missing,missing
9,no,missing,missing,missing,missing
10,no,missing,missing,missing,missing
11,no,missing,missing,missing,missing
12,no,missing,missing,missing,missing
13,no,missing,missing,missing,missing
14,missing,missing,missing,missing,missing
15,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
16,missing,missing,missing,missing,missing
17,missing,missing,missing,missing,missing
18,no,missing,missing,missing,missing
19,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
20,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
21,missing,missing,missing,missing,missing
22,no,missing,missing,missing,missing
23,no,missing,missing,missing,missing
24,no,missing,missing,missing,missing
25,no,missing,missing,missing,missing
26,no,missing,missing,missing,missing
27,missing,missing,missing,missing,missing
28,no,missing,missing,missing,missing
29,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,missing
30,no,missing,missing,missing,missing
31,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
32,no,missing,missing,missing,missing
33,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,missing
34,si, personal directivo de la admon publica y de las empresas, industria manufacturera,trabajador por su cuenta o en su finca,missing
35,missing,missing,missing,missing,missing
36,no,missing,missing,missing,missing
37,si, empleados de oficina," servicios de salud, sociales y personales",como empleado de gobierno,missing
38,no,missing,missing,missing,missing
39,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
40,no,missing,missing,missing,missing
41,no,missing,missing,missing,missing
42,no,missing,missing,missing,missing
43,no,missing,missing,missing,missing
44,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
45,no,missing,missing,missing,missing
46,no,missing,missing,missing,missing
47,missing,missing,missing,missing,missing
48,si," profesionales, cientificos  e  intelectuales", construccion,como empleado u obrero de una empresa privada,missing
49,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado de gobierno,missing
50,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
51,missing,missing,missing,missing,missing
52,no,missing,missing,missing,missing
53,no,missing,missing,missing,missing
54,no,missing,missing,missing,missing
55,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
56,no,missing,missing,missing,missing
57,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
58,missing,missing,missing,missing,missing
59,no,missing,missing,missing,missing
60,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
61,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
62,no,missing,missing,missing,missing
63,no,missing,missing,missing,missing
64,missing,missing,missing,missing,missing
65,no,missing,missing,missing,missing
66,no,missing,missing,missing,missing
67,missing,missing,missing,missing,missing
68,no,missing,missing,missing,missing
69,no,missing,missing,missing,missing
70,no,missing,missing,missing,missing
71,missing,missing,missing,missing,missing
72,no,missing,missing,missing,missing
73,missing,missing,missing,missing,missing
74,no,missing,missing,missing,missing
75,no,missing,missing,missing,missing
76,si, tecnicos y profesionales de nivel medio, servicios financieros,como empleado de gobierno,missing
77,si," profesionales, cientificos  e  intelectuales", servicios financieros,trabajador por su cuenta o en su finca,missing
78,no,missing,missing,missing,missing
79,missing,missing,missing,missing,missing
80,no,missing,missing,missing,missing
81,no,missing,missing,missing,missing
82,no,missing,missing,missing,missing
83,missing,missing,missing,missing,missing
84,si, operadores de instalaciones y maquinas y montadores," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
85,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,missing
86,no,missing,missing,missing,missing
87,no,missing,missing,missing,missing
88,missing,missing,missing,missing,missing
89,no,missing,missing,missing,missing
90,no,missing,missing,missing,missing
91,no,missing,missing,missing,missing
92,missing,missing,missing,missing,missing
93,no,missing,missing,missing,missing
94,no,missing,missing,missing,missing
95,missing,missing,missing,missing,missing
96,no,missing,missing,missing,missing
97,missing,missing,missing,missing,missing
98,no,missing,missing,missing,missing
99,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,missing
100,no,missing,missing,missing,missing
101,no,missing,missing,missing,missing
102,no,missing,missing,missing,missing
103,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
104,no,missing,missing,missing,missing
105,no,missing,missing,missing,missing
106,no,missing,missing,missing,missing
107,si, trab. de los servicios y vend. de comercios y mercados," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
108,no,missing,missing,missing,missing
109,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,missing
110,no,missing,missing,missing,missing
111,missing,missing,missing,missing,missing
112,no,missing,missing,missing,missing
113,no,missing,missing,missing,missing
114,no,missing,missing,missing,missing
115,no,missing,missing,missing,missing
116,no,missing,missing,missing,missing
117,missing,missing,missing,missing,missing
118,no,missing,missing,missing,missing
119,missing,missing,missing,missing,missing
120,no,missing,missing,missing,missing
121,missing,missing,missing,missing,missing
122,missing,missing,missing,missing,missing
123,no,missing,missing,missing,missing
124,no,missing,missing,missing,missing
125,missing,missing,missing,missing,missing
126,no,missing,missing,missing,missing
127,no,missing,missing,missing,missing
128,no,missing,missing,missing,missing
129,no,missing,missing,missing,missing
130,missing,missing,missing,missing,missing
131,missing,missing,missing,missing,missing
132,no,missing,missing,missing,missing
133,no,missing,missing,missing,missing
134,no,missing,missing,missing,missing
135,missing,missing,missing,missing,missing
136,no,missing,missing,missing,missing
137,no,missing,missing,missing,missing
138,no,missing,missing,missing,missing
139,no,missing,missing,missing,missing
140,no,missing,missing,missing,missing
141,no,missing,missing,missing,missing
142,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,missing
143,no,missing,missing,missing,missing
144,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
145,no,missing,missing,missing,missing
146,no,missing,missing,missing,missing
147,missing,missing,missing,missing,missing
148,missing,missing,missing,missing,missing
149,missing,missing,missing,missing,missing
150,no,missing,missing,missing,missing
151,no,missing,missing,missing,missing
152,no,missing,missing,missing,missing
153,missing,missing,missing,missing,missing
154,missing,missing,missing,missing,missing
155,no,missing,missing,missing,missing
156,missing,missing,missing,missing,missing
157,si," profesionales, cientificos  e  intelectuales", industria manufacturera,como empleado u obrero de una empresa privada,missing
158,no,missing,missing,missing,missing
