hhid,p15b01,p15b02
1,no,0
2,si,1
3,no,0
4,no,0
5,si,1
6,no,0
7,no,0
8,si,1
9,si,2
10,si,3
11,no,0
12,si,1
13,no,0
14,no,0
15,si,2
16,no,0
17,no,0
18,si,1
19,si,1
20,no,0
21,no,0
22,no,0
23,no,0
24,si,1
25,si,1
26,si,1
27,si,1
28,si,1
29,si,1
30,si,3
31,no,0
32,si,1
33,no,0
34,si,1
35,no,0
36,si,1
37,no,0
38,no,0
39,no,0
40,no,0
41,no,0
42,si,2
43,si,1
44,no,0
45,no,0
46,no,0
47,no,0
48,si,2
49,no,0
50,no,0
51,no,0
52,no,0
53,no,0
54,si,1
55,no,0
56,si,2
57,si,2
58,no,0
59,si,1
60,si,1
61,no,0
62,no,0
63,no,0
64,no,0
65,no,0
66,no,0
67,si,1
68,no,0
69,si,3
70,si,1
71,no,0
72,no,0
73,no,0
74,no,0
75,si,1
76,no,0
77,si,1
78,no,0
79,no,0
80,no,0
81,si,1
82,no,0
83,no,0
84,si,1
85,si,2
86,si,2
87,no,0
88,no,0
89,no,0
90,si,1
91,no,0
92,no,0
93,si,1
94,no,0
95,no,0
96,si,1
97,no,0
98,no,0
99,no,0
100,no,0
101,no,0
102,si,1
103,no,0
104,si,1
105,no,0
106,no,0
107,no,0
108,no,0
109,no,0
110,no,0
111,no,0
112,no,0
113,no,0
114,si,1
115,si,1
116,no,0
117,no,0
118,no,0
119,no,0
120,no,0
121,no,0
122,no,0
123,si,1
124,no,0
125,no,0
126,si,1
127,no,0
128,no,0
129,no,0
130,no,0
131,no,0
132,no,0
133,si,1
134,si,2
135,no,0
136,si,1
137,si,1
138,no,0
139,si,4
140,no,0
141,no,0
142,no,0
143,no,0
144,no,0
145,si,1
146,no,0
147,no,0
148,si,1
149,si,1
150,no,0
151,no,0
152,si,1
153,no,0
154,no,0
155,si,2
156,no,0
157,no,0
158,no,0
159,no,0
160,no,0
161,no,0
162,si,2
163,no,0
164,si,1
165,si,1
166,no,0
167,si,1
168,no,0
169,no,0
170,no,0
171,si,1
172,no,0
173,si,1
174,no,0
175,no,0
176,no,0
177,no,0
178,si,1
179,no,0
180,si,1
181,si,2
182,no,0
183,no,0
184,no,0
185,si,1
186,si,1
187,no,0
188,si,1
189,no,0
190,si,1
191,no,0
192,si,1
193,no,0
194,no,0
195,no,0
196,no,0
197,no,0
198,si,1
199,no,0
200,si,1
201,no,0
202,no,0
203,no,0
204,si,1
205,no,0
206,no,0
207,si,1
208,si,1
209,no,0
210,no,0
211,no,0
212,no,0
213,no,0
214,si,1
215,no,0
216,no,0
217,no,0
218,no,0
219,si,1
220,no,0
221,si,1
222,si,1
223,no,0
224,no,0
225,no,0
226,si,1
227,no,0
228,si,1
229,si,1
230,si,1
231,no,0
232,si,1
233,si,2
234,si,2
235,no,0
236,si,2
237,si,1
238,no,0
239,no,0
240,si,2
241,si,1
242,si,2
243,si,1
244,no,0
245,no,0
246,no,0
247,si,1
248,si,1
249,no,0
250,si,1
251,si,1
252,no,0
253,si,1
254,si,1
255,no,0
256,no,0
257,no,0
258,no,0
259,si,1
260,no,0
261,si,1
262,no,0
263,no,0
264,si,1
265,no,0
266,si,1
267,no,0
268,no,0
269,si,1
270,no,0
271,no,0
272,no,0
273,si,1
274,si,1
275,si,2
276,si,2
277,si,1
278,no,0
279,si,1
280,si,2
281,si,1
282,no,0
283,si,1
284,no,0
285,no,0
286,si,2
287,no,0
288,si,2
289,no,0
290,si,2
291,no,0
292,no,0
293,no,0
294,no,0
295,si,1
296,no,0
297,no,0
298,si,1
299,si,1
300,si,1
301,si,1
302,no,0
303,no,0
304,si,1
305,no,0
306,no,0
307,no,0
308,no,0
309,si,1
310,no,0
311,no,0
312,si,1
313,si,1
314,si,1
315,no,0
316,si,1
317,no,0
318,no,0
319,si,1
320,no,0
321,si,1
322,si,2
323,no,0
324,si,1
325,no,0
326,no,0
327,si,1
328,no,0
329,no,0
330,si,1
331,si,2
332,no,0
333,si,2
334,no,0
335,si,1
336,si,2
337,si,1
338,no,0
339,no,0
340,si,1
341,si,3
342,si,1
343,si,1
344,no,0
345,no,0
346,si,2
347,si,2
348,no,0
349,si,2
350,si,1
351,si,1
352,si,1
353,no,0
354,si,1
355,no,0
356,si,1
357,no,0
358,si,3
359,si,1
360,no,0
361,si,1
362,no,0
363,no,0
364,no,0
365,no,0
366,si,1
367,no,0
368,no,0
369,si,1
370,si,1
371,si,2
372,no,0
373,si,1
374,no,0
375,no,0
376,si,1
377,si,2
378,si,1
379,si,1
380,si,1
381,no,0
382,si,2
383,no,0
384,no,0
385,no,0
386,no,0
387,no,0
388,si,2
389,si,1
390,no,0
391,no,0
392,si,1
393,no,0
394,no,0
395,no,0
396,no,0
397,no,0
398,no,0
399,no,0
400,si,2
401,no,0
402,si,1
403,no,0
404,si,3
405,no,0
406,no,0
407,no,0
408,si,1
409,no,0
410,no,0
411,si,4
412,si,1
413,si,1
414,si,2
415,no,0
416,si,1
417,si,1
418,no,0
419,no,0
420,no,0
421,si,2
422,si,2
423,no,0
424,si,1
425,no,0
426,si,1
427,no,0
428,no,0
429,no,0
430,no,0
431,no,0
432,no,0
433,si,1
434,no,0
435,no,0
436,si,1
437,no,0
438,no,0
439,si,2
440,si,1
441,si,1
442,si,1
443,si,1
444,no,0
445,no,0
446,si,2
447,no,0
448,si,1
449,no,0
450,no,0
451,no,0
452,si,2
453,no,0
454,no,0
455,si,1
456,no,0
457,no,0
458,si,2
459,no,0
460,no,0
461,si,1
462,no,0
463,no,0
464,si,1
465,si,1
466,no,0
467,si,1
468,si,2
469,si,1
470,si,1
471,si,2
472,no,0
473,si,1
474,no,0
475,si,1
476,si,1
477,si,1
478,no,0
479,si,2
480,si,1
481,no,0
482,no,0
483,si,1
484,no,0
485,no,0
486,si,1
487,no,0
488,no,0
489,no,0
490,no,0
491,no,0
492,no,0
493,no,0
494,no,0
495,no,0
496,no,0
497,no,0
498,si,1
499,si,1
500,si,1
501,si,1
502,si,1
503,si,1
504,si,2
505,si,1
506,si,1
507,si,2
508,si,1
509,si,1
510,no,0
511,si,1
512,si,2
513,si,1
514,si,3
515,si,1
516,si,1
517,si,1
518,no,0
519,no,0
520,no,0
521,si,1
522,no,0
523,no,0
524,no,0
525,no,0
526,no,0
527,no,0
528,no,0
529,no,0
530,no,0
531,si,1
532,si,2
533,no,0
534,si,2
535,no,0
536,no,0
537,no,0
538,no,0
539,si,2
540,si,2
541,no,0
542,no,0
543,si,1
544,no,0
545,no,0
546,si,1
547,no,0
548,no,0
549,no,0
550,no,0
551,no,0
552,no,0
553,si,1
554,no,0
555,no,0
556,si,2
557,no,0
558,no,0
559,no,0
560,si,2
561,no,0
562,no,0
563,no,0
564,no,0
565,si,1
566,no,0
567,si,2
568,no,0
569,si,1
570,no,0
571,no,0
572,no,0
573,no,0
574,si,1
575,si,1
576,no,0
577,no,0
578,no,0
579,no,0
580,si,1
581,no,0
582,no,0
583,si,1
584,no,0
585,si,1
586,no,0
587,si,1
588,si,1
589,no,0
590,no,0
591,si,1
592,no,0
593,si,1
594,no,0
595,si,1
596,no,0
597,si,2
598,si,1
599,si,1
600,si,1
601,si,2
602,si,1
603,si,2
604,no,0
605,no,0
606,no,0
607,no,0
608,si,1
609,no,0
610,no,0
611,si,3
612,no,0
613,si,2
614,si,2
615,si,1
616,no,0
617,si,2
618,si,2
619,no,0
620,si,1
621,no,0
622,no,0
623,no,0
624,si,1
625,si,1
626,no,0
627,no,0
628,si,1
629,si,3
630,no,0
631,no,0
632,si,1
633,no,0
634,no,0
635,si,1
636,si,1
637,si,2
638,no,0
639,si,2
640,si,2
641,no,0
642,si,1
643,si,1
644,si,2
645,si,1
646,no,0
647,si,1
648,no,0
649,si,2
650,si,2
651,no,0
652,no,0
653,no,0
654,si,1
655,si,2
656,si,1
657,si,1
658,si,1
659,no,0
660,si,1
661,no,0
662,si,1
663,no,0
664,si,1
665,no,0
666,no,0
667,si,1
668,si,1
669,no,0
670,no,0
671,no,0
672,no,0
673,no,0
674,no,0
675,si,1
676,si,2
677,no,0
678,no,0
679,no,0
680,no,0
681,si,1
682,si,1
683,no,0
684,no,0
685,no,0
686,no,0
687,si,1
688,no,0
689,no,0
690,si,2
691,no,0
692,no,0
693,no,0
694,si,2
695,si,1
696,si,1
697,si,1
698,si,1
699,si,1
700,si,1
701,si,1
702,si,3
703,si,2
704,si,2
705,no,0
706,si,1
707,si,1
708,si,1
709,no,0
710,si,1
711,no,0
712,no,0
713,no,0
714,si,2
715,no,0
716,no,0
717,si,1
718,no,0
719,si,1
720,si,1
721,no,0
722,no,0
723,no,0
724,si,1
725,no,0
726,si,1
727,no,0
728,si,1
729,si,1
730,si,1
731,si,1
732,si,2
733,si,2
734,si,1
735,no,0
736,si,1
737,no,0
738,si,3
739,si,1
740,no,0
741,si,1
742,si,1
743,no,0
744,no,0
745,no,0
746,si,1
747,no,0
748,no,0
749,si,1
750,no,0
751,si,1
752,no,0
753,si,1
754,no,0
755,si,1
756,no,0
757,no,0
758,no,0
759,no,0
760,no,0
761,no,0
762,no,0
763,no,0
764,no,0
765,no,0
766,si,1
767,no,0
768,no,0
769,si,1
770,si,2
771,no,0
772,no,0
773,no,0
774,si,1
775,no,0
776,no,0
777,si,1
778,si,1
779,no,0
780,no,0
781,si,2
782,si,2
783,no,0
784,si,2
785,si,1
786,no,0
787,si,1
788,si,2
789,no,0
790,si,1
791,no,0
792,si,1
793,si,2
794,no,0
795,si,1
796,si,1
797,no,0
798,no,0
799,no,0
800,si,1
801,no,0
802,no,0
803,no,0
804,si,1
805,si,1
806,no,0
807,no,0
808,si,3
809,si,2
810,no,0
811,no,0
812,no,0
813,no,0
814,si,1
815,si,1
816,no,0
817,si,1
818,si,1
819,no,0
820,no,0
821,si,1
822,no,0
823,no,0
824,si,1
825,no,0
826,si,1
827,no,0
828,si,1
829,no,0
830,si,1
831,si,2
832,no,0
833,no,0
834,si,1
835,si,1
836,no,0
837,no,0
838,si,2
839,si,1
840,si,1
841,si,2
842,si,2
843,no,0
844,si,1
845,si,1
846,no,0
847,no,0
848,si,1
849,no,0
850,si,1
851,si,1
852,si,3
853,si,1
854,no,0
855,si,1
856,si,1
857,no,0
858,no,0
859,no,0
860,no,0
861,no,0
862,no,0
863,si,1
864,si,1
865,no,0
866,si,1
867,si,3
868,no,0
869,si,2
870,si,1
871,no,0
872,si,1
873,si,1
874,no,0
875,si,2
876,no,0
877,no,0
878,no,0
879,no,0
880,si,1
881,no,0
882,si,1
883,si,1
884,no,0
885,no,0
886,no,0
887,no,0
888,no,0
889,si,1
890,no,0
891,no,0
892,si,1
893,no,0
894,no,0
895,no,0
896,no,0
897,no,0
898,no,0
899,no,0
900,no,0
901,no,0
902,no,0
903,no,0
904,no,0
905,no,0
906,no,0
907,no,0
908,no,0
909,no,0
910,no,0
911,no,0
912,no,0
913,si,1
914,no,0
915,no,0
916,si,1
917,no,0
918,si,1
919,no,0
920,si,1
921,si,3
922,no,0
923,no,0
924,si,1
925,si,1
926,si,1
927,no,0
928,no,0
929,no,0
930,no,0
931,no,0
932,no,0
933,no,0
934,no,0
935,si,1
936,no,0
937,no,0
938,no,0
939,no,0
940,si,1
941,si,1
942,no,0
943,no,0
944,no,0
945,no,0
946,si,1
947,si,1
948,no,0
949,si,1
950,no,0
951,si,1
952,no,0
953,no,0
954,no,0
955,no,0
956,no,0
957,si,1
958,si,1
959,si,1
960,si,2
961,no,0
962,no,0
963,no,0
964,si,1
965,no,0
966,no,0
967,si,2
968,si,1
969,no,0
970,no,0
971,no,0
972,no,0
973,no,0
974,no,0
975,no,0
976,no,0
977,si,1
978,no,0
979,no,0
980,no,0
981,si,1
982,si,1
983,si,1
984,si,1
985,no,0
986,si,1
987,si,1
988,si,2
989,no,0
990,si,1
991,no,0
992,si,1
993,no,0
994,no,0
995,si,1
996,no,0
997,no,0
998,si,1
999,si,2
1000,no,0
1001,no,0
1002,no,0
1003,no,0
1004,si,1
1005,no,0
1006,no,0
1007,no,0
1008,si,1
1009,no,0
1010,no,0
1011,si,2
1012,no,0
1013,si,1
1014,no,0
1015,si,2
1016,si,1
1017,no,0
1018,no,0
1019,no,0
1020,si,1
1021,si,1
1022,si,1
1023,si,1
1024,si,1
1025,si,1
1026,no,0
1027,no,0
1028,si,1
1029,si,2
1030,si,1
1031,si,1
1032,no,0
1033,no,0
1034,si,3
1035,no,0
1036,si,1
1037,no,0
1038,no,0
1039,no,0
1040,si,1
1041,no,0
1042,si,1
1043,no,0
1044,no,0
1045,no,0
1046,no,0
1047,no,0
1048,si,3
1049,no,0
1050,no,0
1051,no,0
1052,si,1
1053,no,0
1054,no,0
1055,no,0
1056,si,1
1057,si,2
1058,no,0
1059,no,0
1060,no,0
1061,no,0
1062,no,0
1063,no,0
1064,si,1
1065,no,0
1066,no,0
1067,no,0
1068,no,0
1069,si,1
1070,no,0
1071,si,1
1072,no,0
1073,no,0
1074,no,0
1075,no,0
1076,si,3
1077,no,0
1078,no,0
1079,si,1
1080,no,0
1081,no,0
1082,no,0
1083,no,0
1084,si,1
1085,no,0
1086,no,0
1087,no,0
1088,no,0
1089,no,0
1090,no,0
1091,no,0
1092,no,0
1093,no,0
1094,no,0
1095,no,0
1096,no,0
1097,si,2
1098,si,1
1099,si,1
1100,no,0
1101,no,0
1102,si,1
1103,no,0
1104,no,0
1105,si,1
1106,no,0
1107,no,0
1108,no,0
1109,no,0
1110,no,0
1111,no,0
1112,no,0
1113,no,0
1114,no,0
1115,si,1
1116,no,0
1117,no,0
1118,no,0
1119,si,1
1120,no,0
1121,si,1
1122,si,1
1123,no,0
1124,si,1
1125,si,1
1126,no,0
1127,no,0
1128,si,1
1129,no,0
1130,no,0
1131,si,1
1132,si,2
1133,si,1
1134,si,1
1135,si,1
1136,no,0
1137,si,1
1138,no,0
1139,si,2
1140,no,0
1141,no,0
1142,no,0
1143,si,1
1144,si,1
1145,si,1
1146,no,0
1147,si,1
1148,si,1
1149,no,0
1150,si,1
1151,no,0
1152,no,0
1153,no,0
1154,no,0
1155,no,0
1156,no,0
1157,si,1
1158,no,0
1159,no,0
1160,no,0
1161,no,0
1162,si,1
1163,no,0
1164,no,0
1165,si,1
1166,si,1
1167,no,0
1168,si,1
1169,no,0
1170,no,0
1171,si,1
1172,no,0
1173,no,0
1174,no,0
1175,no,0
1176,no,0
1177,no,0
1178,no,0
1179,no,0
1180,no,0
1181,no,0
1182,no,0
1183,no,0
1184,no,0
1185,no,0
1186,no,0
1187,no,0
1188,no,0
1189,no,0
1190,si,2
1191,si,1
1192,si,1
1193,si,1
1194,si,1
1195,si,1
1196,si,2
1197,si,1
1198,no,0
1199,si,1
1200,si,1
1201,si,1
1202,no,0
1203,no,0
1204,no,0
1205,si,1
1206,no,0
1207,no,0
1208,si,1
1209,si,1
1210,si,2
1211,si,2
1212,si,1
1213,no,0
1214,no,0
1215,no,0
1216,no,0
1217,no,0
1218,si,2
1219,no,0
1220,si,1
1221,si,2
1222,no,0
1223,no,0
1224,si,1
1225,no,0
1226,si,1
1227,no,0
1228,no,0
1229,si,1
1230,no,0
1231,si,1
1232,si,1
1233,no,0
1234,no,0
1235,si,1
1236,si,3
1237,si,1
1238,si,1
1239,no,0
1240,si,1
1241,si,1
1242,si,1
1243,no,0
1244,si,2
1245,no,0
1246,si,1
1247,no,0
1248,no,0
1249,no,0
1250,no,0
1251,no,0
1252,no,0
1253,no,0
1254,no,0
1255,no,0
1256,no,0
1257,no,0
1258,no,0
1259,si,1
1260,no,0
1261,no,0
1262,si,1
1263,no,0
1264,no,0
1265,no,0
1266,si,1
1267,no,0
1268,no,0
1269,si,3
1270,si,1
1271,no,0
1272,no,0
1273,si,1
1274,no,0
1275,no,0
1276,no,0
1277,no,0
1278,no,0
1279,no,0
1280,no,0
1281,no,0
1282,no,0
1283,no,0
1284,si,1
1285,si,2
1286,si,1
1287,no,0
1288,si,2
1289,si,1
1290,si,1
1291,no,0
1292,no,0
1293,si,3
1294,si,1
1295,si,1
1296,no,0
1297,si,1
1298,si,2
1299,si,2
1300,si,1
1301,si,2
1302,si,2
1303,no,0
1304,no,0
1305,no,0
1306,si,1
1307,no,0
1308,no,0
1309,no,0
1310,no,0
1311,no,0
1312,no,0
1313,no,0
1314,no,0
1315,no,0
1316,no,0
1317,no,0
1318,no,0
1319,no,0
1320,si,1
1321,si,1
1322,si,1
1323,no,0
1324,si,1
1325,no,0
1326,no,0
1327,si,1
1328,no,0
1329,si,1
1330,si,2
1331,si,1
1332,no,0
1333,no,0
1334,si,1
1335,si,2
1336,si,1
1337,no,0
1338,no,0
1339,si,2
1340,si,1
1341,no,0
1342,no,0
1343,si,1
1344,no,0
1345,no,0
1346,si,1
1347,si,1
1348,no,0
1349,si,2
1350,si,1
1351,no,0
1352,no,0
1353,si,1
1354,si,1
1355,si,1
1356,si,1
1357,no,0
1358,no,0
1359,si,1
1360,si,1
1361,no,0
1362,si,1
1363,si,1
1364,si,1
1365,si,1
1366,si,1
1367,si,3
1368,si,2
1369,si,1
1370,si,4
1371,si,1
1372,si,1
1373,si,1
1374,si,1
1375,no,0
1376,si,1
1377,si,1
1378,si,1
1379,si,2
1380,si,1
1381,si,1
1382,si,2
1383,no,0
1384,si,1
1385,no,0
1386,si,2
1387,no,0
1388,no,0
1389,si,2
1390,si,1
1391,no,0
1392,si,1
1393,si,1
1394,si,1
1395,si,2
1396,no,0
1397,no,0
1398,si,1
1399,si,1
1400,si,1
1401,si,1
1402,si,1
1403,no,0
1404,si,2
1405,si,2
1406,si,1
1407,no,0
1408,si,1
1409,no,0
1410,no,0
1411,si,1
1412,no,0
1413,no,0
1414,no,0
1415,si,1
1416,no,0
1417,si,2
1418,no,0
1419,si,1
1420,si,1
1421,si,1
1422,no,0
1423,si,2
1424,si,1
1425,no,0
1426,no,0
1427,no,0
1428,no,0
1429,si,1
1430,si,1
1431,si,1
1432,si,2
1433,no,0
1434,no,0
1435,no,0
1436,si,1
1437,si,2
1438,si,1
1439,no,0
1440,si,1
1441,no,0
1442,no,0
1443,no,0
1444,si,3
1445,no,0
1446,no,0
1447,no,1
1448,si,1
1449,no,0
1450,si,1
1451,si,1
1452,si,3
1453,si,2
1454,no,0
1455,si,2
1456,si,2
1457,si,1
1458,no,0
1459,no,0
1460,no,0
1461,no,0
1462,si,1
1463,si,1
1464,si,1
1465,si,1
1466,si,1
1467,no,0
1468,si,1
1469,si,1
1470,si,1
1471,no,0
1472,si,1
1473,si,1
1474,si,1
1475,si,1
1476,si,2
1477,si,2
1478,si,2
1479,no,0
1480,si,1
1481,no,0
1482,si,1
1483,no,0
1484,si,1
1485,si,1
1486,si,1
1487,si,1
1488,no,0
1489,si,1
1490,no,0
1491,no,0
1492,no,0
1493,no,0
1494,no,0
1495,no,0
1496,no,0
1497,no,0
1498,no,0
1499,no,0
1500,si,1
1501,no,0
1502,no,0
1503,no,0
1504,si,1
1505,no,0
1506,no,0
1507,no,0
1508,no,0
1509,no,0
1510,no,0
1511,si,1
1512,si,1
1513,si,1
1514,no,0
1515,si,1
1516,no,0
1517,si,1
1518,no,0
1519,si,2
1520,si,1
1521,no,0
1522,si,2
1523,no,0
1524,no,0
1525,no,0
1526,si,1
1527,no,0
1528,si,1
1529,si,3
1530,si,1
1531,si,1
1532,no,0
1533,si,2
1534,si,1
1535,no,0
1536,si,1
1537,si,3
1538,si,1
1539,no,0
1540,si,1
1541,si,2
1542,si,1
1543,no,0
1544,no,0
1545,no,0
1546,no,0
1547,si,1
1548,no,0
1549,si,2
1550,si,1
1551,no,0
1552,si,2
1553,si,1
1554,si,1
1555,si,1
1556,si,1
1557,no,0
1558,no,0
1559,si,1
1560,no,0
1561,no,0
1562,no,0
1563,no,0
1564,no,0
1565,no,0
1566,no,0
1567,no,0
1568,no,0
1569,no,0
1570,si,1
1571,no,0
1572,si,2
1573,si,1
1574,si,1
1575,si,2
1576,no,0
1577,no,0
1578,no,0
1579,si,1
1580,si,1
1581,si,1
1582,si,1
1583,si,1
1584,no,0
1585,no,0
1586,no,0
1587,no,0
1588,si,2
1589,no,0
1590,si,1
1591,si,1
1592,si,1
1593,no,0
1594,no,0
1595,no,0
1596,no,0
1597,no,0
1598,no,0
1599,no,0
1600,no,0
1601,no,0
1602,no,0
1603,no,0
1604,no,0
1605,no,0
1606,no,0
1607,no,0
1608,no,0
1609,no,0
1610,no,0
1611,no,0
1612,no,0
1613,no,0
1614,no,0
1615,no,0
1616,si,1
1617,no,0
1618,si,1
1619,no,0
1620,no,0
1621,no,0
1622,no,0
1623,no,0
1624,no,0
1625,no,0
1626,no,0
