region,area,hhid,thogar,hh_wgt
metropolitana,urbana,1,4,541.0
metropolitana,urbana,2,3,541.0
metropolitana,urbana,3,6,541.0
metropolitana,urbana,4,1,541.0
metropolitana,urbana,5,3,541.0
metropolitana,urbana,6,5,541.0
metropolitana,urbana,7,3,541.0
metropolitana,urbana,8,3,541.0
metropolitana,urbana,9,2,305.0
metropolitana,urbana,10,5,305.0
metropolitana,urbana,11,6,305.0
metropolitana,urbana,12,4,305.0
metropolitana,urbana,13,3,305.0
metropolitana,urbana,14,2,305.0
metropolitana,urbana,15,5,593.0
metropolitana,urbana,16,1,593.0
metropolitana,urbana,17,1,593.0
metropolitana,urbana,18,10,593.0
metropolitana,urbana,19,2,593.0
metropolitana,urbana,20,2,593.0
metropolitana,urbana,21,2,593.0
metropolitana,urbana,22,1,593.0
metropolitana,urbana,23,4,593.0
metropolitana,urbana,24,4,700.0
metropolitana,urbana,25,2,700.0
metropolitana,urbana,26,5,700.0
metropolitana,urbana,27,3,700.0
metropolitana,urbana,28,2,700.0
metropolitana,urbana,29,5,700.0
metropolitana,urbana,30,4,700.0
metropolitana,urbana,31,3,700.0
metropolitana,urbana,32,5,700.0
metropolitana,urbana,33,3,700.0
metropolitana,urbana,34,2,700.0
metropolitana,urbana,35,1,700.0
metropolitana,urbana,36,4,706.0
metropolitana,urbana,37,5,706.0
metropolitana,urbana,38,4,706.0
metropolitana,urbana,39,2,706.0
metropolitana,urbana,40,3,706.0
metropolitana,urbana,41,4,706.0
metropolitana,urbana,42,4,706.0
metropolitana,urbana,43,5,706.0
metropolitana,urbana,44,2,706.0
metropolitana,urbana,45,5,706.0
metropolitana,urbana,46,3,679.0
metropolitana,urbana,47,4,679.0
metropolitana,urbana,48,4,679.0
metropolitana,urbana,49,1,679.0
metropolitana,urbana,50,6,679.0
metropolitana,urbana,51,6,679.0
metropolitana,urbana,52,8,679.0
metropolitana,urbana,53,2,679.0
metropolitana,urbana,54,5,724.0
metropolitana,urbana,55,4,724.0
metropolitana,urbana,56,3,724.0
metropolitana,urbana,57,3,724.0
metropolitana,urbana,58,3,724.0
metropolitana,urbana,59,3,724.0
metropolitana,urbana,60,2,724.0
metropolitana,urbana,61,3,724.0
metropolitana,urbana,62,4,724.0
metropolitana,urbana,63,3,1241.0
metropolitana,urbana,64,3,1241.0
metropolitana,urbana,65,5,1241.0
metropolitana,urbana,66,3,1241.0
metropolitana,urbana,67,4,1241.0
metropolitana,urbana,68,3,1241.0
metropolitana,urbana,69,4,1241.0
metropolitana,urbana,70,4,237.0
metropolitana,urbana,71,3,237.0
metropolitana,urbana,72,3,237.0
metropolitana,urbana,73,2,237.0
metropolitana,urbana,74,3,237.0
metropolitana,urbana,75,3,237.0
metropolitana,urbana,76,5,237.0
metropolitana,urbana,77,6,282.0
metropolitana,urbana,78,3,282.0
metropolitana,urbana,79,6,282.0
metropolitana,urbana,80,3,282.0
metropolitana,urbana,81,5,282.0
metropolitana,urbana,82,4,282.0
metropolitana,urbana,83,2,282.0
metropolitana,urbana,84,4,211.0
metropolitana,urbana,85,3,211.0
metropolitana,urbana,86,2,211.0
metropolitana,urbana,87,1,211.0
metropolitana,urbana,88,1,211.0
metropolitana,urbana,89,4,211.0
metropolitana,urbana,90,2,211.0
metropolitana,urbana,91,3,211.0
metropolitana,urbana,92,1,211.0
metropolitana,urbana,93,3,211.0
metropolitana,urbana,94,3,334.0
metropolitana,urbana,95,4,334.0
metropolitana,urbana,96,8,334.0
metropolitana,urbana,97,6,334.0
metropolitana,urbana,98,2,334.0
metropolitana,urbana,99,3,334.0
metropolitana,urbana,100,3,334.0
metropolitana,urbana,101,5,729.0
metropolitana,urbana,102,3,729.0
metropolitana,urbana,103,2,729.0
metropolitana,urbana,104,2,729.0
metropolitana,urbana,105,3,729.0
metropolitana,urbana,106,3,729.0
metropolitana,urbana,107,6,729.0
metropolitana,urbana,108,3,480.0
metropolitana,urbana,109,1,480.0
metropolitana,urbana,110,3,480.0
metropolitana,urbana,111,3,480.0
metropolitana,urbana,112,1,480.0
metropolitana,urbana,113,3,480.0
metropolitana,urbana,114,10,480.0
metropolitana,urbana,115,9,480.0
metropolitana,urbana,116,3,630.0
metropolitana,urbana,117,6,630.0
metropolitana,urbana,118,5,630.0
metropolitana,urbana,119,5,630.0
metropolitana,urbana,120,9,630.0
metropolitana,urbana,121,3,630.0
metropolitana,urbana,122,4,630.0
metropolitana,urbana,123,4,630.0
metropolitana,urbana,124,3,2676.0
metropolitana,urbana,125,2,2676.0
metropolitana,urbana,126,6,2676.0
metropolitana,urbana,127,3,2676.0
metropolitana,urbana,128,6,2676.0
metropolitana,urbana,129,8,2676.0
metropolitana,urbana,130,6,2676.0
metropolitana,urbana,131,3,2676.0
metropolitana,urbana,132,5,2676.0
metropolitana,urbana,133,4,2676.0
metropolitana,urbana,134,3,977.0
metropolitana,urbana,135,7,977.0
metropolitana,urbana,136,8,977.0
metropolitana,urbana,137,4,977.0
metropolitana,urbana,138,4,977.0
metropolitana,urbana,139,8,977.0
metropolitana,urbana,140,4,977.0
metropolitana,urbana,141,1,977.0
metropolitana,urbana,142,2,977.0
metropolitana,urbana,143,7,977.0
metropolitana,urbana,144,2,661.0
metropolitana,urbana,145,1,661.0
metropolitana,urbana,146,7,661.0
metropolitana,urbana,147,3,661.0
metropolitana,urbana,148,5,661.0
metropolitana,urbana,149,4,661.0
metropolitana,urbana,150,1,661.0
metropolitana,urbana,151,3,661.0
metropolitana,urbana,152,2,661.0
metropolitana,urbana,153,1,661.0
metropolitana,urbana,154,9,491.0
metropolitana,urbana,155,4,491.0
metropolitana,urbana,156,2,491.0
metropolitana,urbana,157,4,491.0
metropolitana,urbana,158,5,491.0
metropolitana,urbana,159,1,491.0
metropolitana,urbana,160,2,491.0
metropolitana,urbana,161,6,188.0
metropolitana,urbana,162,4,188.0
metropolitana,urbana,163,4,188.0
metropolitana,urbana,164,5,188.0
metropolitana,urbana,165,3,188.0
metropolitana,urbana,166,3,188.0
metropolitana,urbana,167,5,188.0
metropolitana,urbana,168,2,188.0
metropolitana,urbana,169,7,301.0
metropolitana,urbana,170,1,301.0
metropolitana,urbana,171,3,301.0
metropolitana,urbana,172,6,301.0
metropolitana,urbana,173,3,301.0
metropolitana,urbana,174,5,301.0
metropolitana,urbana,175,1,668.0
metropolitana,urbana,176,3,668.0
metropolitana,urbana,177,5,668.0
metropolitana,urbana,178,1,377.0
metropolitana,urbana,179,5,377.0
metropolitana,urbana,180,5,377.0
metropolitana,urbana,181,5,377.0
metropolitana,urbana,182,4,377.0
metropolitana,urbana,183,3,382.0
metropolitana,urbana,184,2,382.0
metropolitana,urbana,185,2,382.0
metropolitana,urbana,186,6,382.0
metropolitana,urbana,187,3,366.0
metropolitana,urbana,188,6,366.0
metropolitana,urbana,189,5,366.0
metropolitana,urbana,190,3,366.0
metropolitana,urbana,191,5,366.0
metropolitana,urbana,192,5,366.0
metropolitana,urbana,193,5,421.0
metropolitana,urbana,194,4,421.0
metropolitana,urbana,195,5,421.0
metropolitana,urbana,196,2,421.0
metropolitana,urbana,197,2,421.0
metropolitana,urbana,198,5,289.0
metropolitana,urbana,199,1,289.0
metropolitana,urbana,200,3,289.0
metropolitana,urbana,201,5,289.0
metropolitana,urbana,202,5,289.0
metropolitana,urbana,203,2,289.0
metropolitana,urbana,204,1,289.0
metropolitana,urbana,205,2,289.0
metropolitana,urbana,206,5,1187.0
metropolitana,urbana,207,11,1187.0
metropolitana,urbana,208,6,1187.0
metropolitana,urbana,209,8,1187.0
metropolitana,urbana,210,3,1187.0
metropolitana,urbana,211,2,239.0
metropolitana,urbana,212,3,239.0
metropolitana,urbana,213,1,239.0
metropolitana,urbana,214,6,239.0
metropolitana,urbana,215,4,239.0
metropolitana,urbana,216,5,239.0
metropolitana,urbana,217,2,239.0
metropolitana,urbana,218,2,239.0
metropolitana,urbana,219,10,239.0
metropolitana,urbana,220,5,334.0
metropolitana,urbana,221,3,334.0
metropolitana,urbana,222,5,334.0
metropolitana,urbana,223,2,334.0
metropolitana,urbana,224,8,334.0
metropolitana,urbana,225,3,334.0
metropolitana,urbana,226,6,547.0
metropolitana,urbana,227,2,547.0
metropolitana,urbana,228,6,547.0
metropolitana,urbana,229,1,547.0
metropolitana,urbana,230,4,547.0
metropolitana,urbana,231,4,547.0
metropolitana,urbana,232,5,547.0
metropolitana,urbana,233,5,547.0
metropolitana,urbana,234,4,547.0
metropolitana,urbana,235,8,547.0
metropolitana,urbana,236,7,547.0
metropolitana,urbana,237,3,547.0
metropolitana,urbana,238,6,547.0
metropolitana,urbana,239,6,131.0
metropolitana,urbana,240,3,131.0
metropolitana,urbana,241,1,131.0
metropolitana,urbana,242,5,131.0
metropolitana,urbana,243,4,131.0
metropolitana,urbana,244,3,131.0
metropolitana,urbana,245,4,131.0
metropolitana,urbana,246,6,131.0
metropolitana,urbana,247,2,131.0
metropolitana,urbana,248,3,131.0
metropolitana,urbana,249,6,131.0
metropolitana,urbana,250,5,131.0
metropolitana,urbana,251,2,750.0
metropolitana,urbana,252,3,750.0
metropolitana,urbana,253,1,750.0
metropolitana,urbana,254,6,750.0
