hhid,depto_code,depto_name,mupio,sector
1,1,guatemala,3,3
2,1,guatemala,3,3
3,1,guatemala,3,3
4,1,guatemala,3,3
5,1,guatemala,3,3
6,1,guatemala,3,3
7,1,guatemala,3,3
8,1,guatemala,3,3
9,1,guatemala,5,28
10,1,guatemala,5,28
11,1,guatemala,5,28
12,1,guatemala,5,28
13,1,guatemala,5,28
14,1,guatemala,5,28
15,1,guatemala,5,50
16,1,guatemala,5,50
17,1,guatemala,5,50
18,1,guatemala,5,50
19,1,guatemala,5,50
20,1,guatemala,5,50
21,1,guatemala,5,50
22,1,guatemala,5,50
23,1,guatemala,5,50
24,1,guatemala,5,52
25,1,guatemala,5,52
26,1,guatemala,5,52
27,1,guatemala,5,52
28,1,guatemala,5,52
29,1,guatemala,5,52
30,1,guatemala,5,52
31,1,guatemala,5,52
32,1,guatemala,5,52
33,1,guatemala,5,52
34,1,guatemala,5,52
35,1,guatemala,5,52
36,1,guatemala,6,8
37,1,guatemala,6,8
38,1,guatemala,6,8
39,1,guatemala,6,8
40,1,guatemala,6,8
41,1,guatemala,6,8
42,1,guatemala,6,8
43,1,guatemala,6,8
44,1,guatemala,6,8
45,1,guatemala,6,8
46,1,guatemala,6,18
47,1,guatemala,6,18
48,1,guatemala,6,18
49,1,guatemala,6,18
50,1,guatemala,6,18
51,1,guatemala,6,18
52,1,guatemala,6,18
53,1,guatemala,6,18
54,1,guatemala,6,46
55,1,guatemala,6,46
56,1,guatemala,6,46
57,1,guatemala,6,46
58,1,guatemala,6,46
59,1,guatemala,6,46
60,1,guatemala,6,46
61,1,guatemala,6,46
62,1,guatemala,6,46
63,1,guatemala,6,78
64,1,guatemala,6,78
65,1,guatemala,6,78
66,1,guatemala,6,78
67,1,guatemala,6,78
68,1,guatemala,6,78
69,1,guatemala,6,78
70,1,guatemala,7,17
71,1,guatemala,7,17
72,1,guatemala,7,17
73,1,guatemala,7,17
74,1,guatemala,7,17
75,1,guatemala,7,17
76,1,guatemala,7,17
77,1,guatemala,7,18
78,1,guatemala,7,18
79,1,guatemala,7,18
80,1,guatemala,7,18
81,1,guatemala,7,18
82,1,guatemala,7,18
83,1,guatemala,7,18
84,1,guatemala,7,41
85,1,guatemala,7,41
86,1,guatemala,7,41
87,1,guatemala,7,41
88,1,guatemala,7,41
89,1,guatemala,7,41
90,1,guatemala,7,41
91,1,guatemala,7,41
92,1,guatemala,7,41
93,1,guatemala,7,41
94,1,guatemala,7,47
95,1,guatemala,7,47
96,1,guatemala,7,47
97,1,guatemala,7,47
98,1,guatemala,7,47
99,1,guatemala,7,47
100,1,guatemala,7,47
101,1,guatemala,7,49
102,1,guatemala,7,49
103,1,guatemala,7,49
104,1,guatemala,7,49
105,1,guatemala,7,49
106,1,guatemala,7,49
107,1,guatemala,7,49
108,1,guatemala,7,86
109,1,guatemala,7,86
110,1,guatemala,7,86
111,1,guatemala,7,86
112,1,guatemala,7,86
113,1,guatemala,7,86
114,1,guatemala,7,86
115,1,guatemala,7,86
116,1,guatemala,7,120
117,1,guatemala,7,120
118,1,guatemala,7,120
119,1,guatemala,7,120
120,1,guatemala,7,120
121,1,guatemala,7,120
122,1,guatemala,7,120
123,1,guatemala,7,120
124,1,guatemala,7,139
125,1,guatemala,7,139
126,1,guatemala,7,139
127,1,guatemala,7,139
128,1,guatemala,7,139
129,1,guatemala,7,139
130,1,guatemala,7,139
131,1,guatemala,7,139
132,1,guatemala,7,139
133,1,guatemala,7,139
134,1,guatemala,7,141
135,1,guatemala,7,141
136,1,guatemala,7,141
137,1,guatemala,7,141
138,1,guatemala,7,141
139,1,guatemala,7,141
140,1,guatemala,7,141
141,1,guatemala,7,141
142,1,guatemala,7,141
143,1,guatemala,7,141
144,1,guatemala,8,1
145,1,guatemala,8,1
146,1,guatemala,8,1
147,1,guatemala,8,1
148,1,guatemala,8,1
149,1,guatemala,8,1
150,1,guatemala,8,1
151,1,guatemala,8,1
152,1,guatemala,8,1
153,1,guatemala,8,1
154,1,guatemala,8,15
155,1,guatemala,8,15
156,1,guatemala,8,15
157,1,guatemala,8,15
158,1,guatemala,8,15
159,1,guatemala,8,15
160,1,guatemala,8,15
161,1,guatemala,9,5
162,1,guatemala,9,5
163,1,guatemala,9,5
164,1,guatemala,9,5
165,1,guatemala,9,5
166,1,guatemala,9,5
167,1,guatemala,9,5
168,1,guatemala,9,5
169,1,guatemala,10,2
170,1,guatemala,10,2
171,1,guatemala,10,2
172,1,guatemala,10,2
173,1,guatemala,10,2
174,1,guatemala,10,2
175,1,guatemala,10,5
176,1,guatemala,10,5
177,1,guatemala,10,5
178,1,guatemala,11,2
179,1,guatemala,11,2
180,1,guatemala,11,2
181,1,guatemala,11,2
182,1,guatemala,11,2
183,1,guatemala,11,7
184,1,guatemala,11,7
185,1,guatemala,11,7
186,1,guatemala,11,7
187,1,guatemala,11,8
188,1,guatemala,11,8
189,1,guatemala,11,8
190,1,guatemala,11,8
191,1,guatemala,11,8
192,1,guatemala,11,8
193,1,guatemala,11,9
194,1,guatemala,11,9
195,1,guatemala,11,9
196,1,guatemala,11,9
197,1,guatemala,11,9
198,1,guatemala,11,10
199,1,guatemala,11,10
200,1,guatemala,11,10
201,1,guatemala,11,10
202,1,guatemala,11,10
203,1,guatemala,11,10
204,1,guatemala,11,10
205,1,guatemala,11,10
206,1,guatemala,11,15
207,1,guatemala,11,15
208,1,guatemala,11,15
209,1,guatemala,11,15
210,1,guatemala,11,15
211,1,guatemala,11,24
212,1,guatemala,11,24
213,1,guatemala,11,24
214,1,guatemala,11,24
215,1,guatemala,11,24
216,1,guatemala,11,24
217,1,guatemala,11,24
218,1,guatemala,11,24
219,1,guatemala,11,24
220,1,guatemala,11,54
221,1,guatemala,11,54
222,1,guatemala,11,54
223,1,guatemala,11,54
224,1,guatemala,11,54
225,1,guatemala,11,54
226,1,guatemala,12,2
227,1,guatemala,12,2
228,1,guatemala,12,2
229,1,guatemala,12,2
230,1,guatemala,12,2
231,1,guatemala,12,2
232,1,guatemala,12,2
233,1,guatemala,12,2
234,1,guatemala,12,2
235,1,guatemala,12,2
236,1,guatemala,12,2
237,1,guatemala,12,2
238,1,guatemala,12,2
239,1,guatemala,12,24
240,1,guatemala,12,24
241,1,guatemala,12,24
242,1,guatemala,12,24
243,1,guatemala,12,24
244,1,guatemala,12,24
245,1,guatemala,12,24
246,1,guatemala,12,24
247,1,guatemala,12,24
248,1,guatemala,12,24
249,1,guatemala,12,24
250,1,guatemala,12,24
251,1,guatemala,12,34
252,1,guatemala,12,34
253,1,guatemala,12,34
254,1,guatemala,12,34
255,1,guatemala,12,34
256,1,guatemala,12,34
257,1,guatemala,12,34
258,1,guatemala,12,34
259,1,guatemala,12,34
260,1,guatemala,12,34
261,1,guatemala,12,46
262,1,guatemala,12,46
263,1,guatemala,12,46
264,1,guatemala,12,46
265,1,guatemala,12,46
266,1,guatemala,12,46
267,1,guatemala,12,46
268,1,guatemala,12,46
269,1,guatemala,12,53
270,1,guatemala,12,53
271,1,guatemala,12,53
272,1,guatemala,12,53
273,1,guatemala,12,53
274,1,guatemala,12,53
275,1,guatemala,12,53
276,1,guatemala,12,58
277,1,guatemala,12,58
278,1,guatemala,12,58
279,1,guatemala,12,58
280,1,guatemala,12,58
281,1,guatemala,12,58
282,1,guatemala,12,58
283,1,guatemala,12,58
284,1,guatemala,12,58
285,1,guatemala,12,58
286,1,guatemala,12,58
287,1,guatemala,12,58
288,1,guatemala,12,58
289,1,guatemala,12,58
290,1,guatemala,12,58
291,1,guatemala,12,58
292,1,guatemala,13,15
293,1,guatemala,13,15
294,1,guatemala,13,15
295,1,guatemala,13,15
296,1,guatemala,13,15
297,1,guatemala,13,15
298,1,guatemala,13,19
299,1,guatemala,13,19
300,1,guatemala,13,19
301,1,guatemala,13,19
302,1,guatemala,13,19
303,1,guatemala,13,19
304,1,guatemala,13,19
305,1,guatemala,15,15
306,1,guatemala,15,15
307,1,guatemala,15,15
308,1,guatemala,15,21
309,1,guatemala,15,21
310,1,guatemala,15,21
311,1,guatemala,16,10
312,1,guatemala,16,10
313,1,guatemala,16,10
314,1,guatemala,16,10
315,1,guatemala,16,10
316,1,guatemala,16,10
317,1,guatemala,16,10
318,1,guatemala,16,10
319,1,guatemala,16,10
320,1,guatemala,16,10
321,1,guatemala,16,10
322,1,guatemala,16,17
323,1,guatemala,16,17
324,1,guatemala,16,17
325,1,guatemala,16,17
326,1,guatemala,16,17
327,1,guatemala,17,9
328,1,guatemala,17,9
329,1,guatemala,17,9
330,1,guatemala,17,9
331,1,guatemala,17,9
332,1,guatemala,17,9
333,1,guatemala,17,9
334,1,guatemala,17,9
335,1,guatemala,18,56
336,1,guatemala,18,56
337,1,guatemala,18,56
338,1,guatemala,18,56
339,1,guatemala,18,56
340,1,guatemala,18,56
341,1,guatemala,18,56
342,1,guatemala,18,56
343,1,guatemala,18,56
344,1,guatemala,18,56
345,1,guatemala,18,56
346,1,guatemala,18,56
347,1,guatemala,18,56
348,1,guatemala,18,71
349,1,guatemala,18,71
350,1,guatemala,18,71
351,1,guatemala,18,71
352,1,guatemala,18,71
353,1,guatemala,18,71
354,1,guatemala,18,71
355,1,guatemala,18,71
356,1,guatemala,18,71
357,1,guatemala,18,71
358,1,guatemala,18,71
359,1,guatemala,18,71
360,1,guatemala,18,76
361,1,guatemala,18,76
362,1,guatemala,18,76
363,1,guatemala,18,76
364,1,guatemala,18,76
365,1,guatemala,18,76
366,1,guatemala,18,76
367,1,guatemala,18,76
368,1,guatemala,18,76
369,1,guatemala,18,76
370,1,guatemala,18,76
371,1,guatemala,18,76
372,1,guatemala,18,76
373,1,guatemala,18,76
374,1,guatemala,18,76
375,1,guatemala,18,106
376,1,guatemala,18,106
377,1,guatemala,18,106
378,1,guatemala,18,106
379,1,guatemala,18,106
380,1,guatemala,18,106
381,1,guatemala,18,106
382,1,guatemala,18,106
383,1,guatemala,18,106
384,1,guatemala,18,106
385,1,guatemala,18,106
386,1,guatemala,18,106
