depto,mupio,sector,hhid,upm2,agreg3
guatemala,3.0,3.0,1.0,1031003.0,11687.0078125
guatemala,3.0,3.0,2.0,1031003.0,10821.22265625
guatemala,3.0,3.0,3.0,1031003.0,11324.982421875
guatemala,3.0,3.0,4.0,1031003.0,59760.890625
guatemala,3.0,3.0,5.0,1031003.0,32664.03125
guatemala,3.0,3.0,6.0,1031003.0,7539.39501953125
guatemala,3.0,3.0,7.0,1031003.0,10052.595703125
guatemala,3.0,3.0,8.0,1031003.0,14098.748046875
guatemala,5.0,28.0,9.0,1051028.0,33957.43359375
guatemala,5.0,28.0,10.0,1051028.0,20835.296875
guatemala,5.0,28.0,11.0,1051028.0,19900.212890625
guatemala,5.0,28.0,12.0,1051028.0,25893.126953125
guatemala,5.0,28.0,13.0,1051028.0,29989.326171875
guatemala,5.0,28.0,14.0,1051028.0,37980.20703125
guatemala,5.0,50.0,15.0,1051050.0,13436.9609375
guatemala,5.0,50.0,16.0,1051050.0,75957.7890625
guatemala,5.0,50.0,17.0,1051050.0,32175.58984375
guatemala,5.0,50.0,18.0,1051050.0,27271.939453125
guatemala,5.0,50.0,19.0,1051050.0,19806.181640625
guatemala,5.0,50.0,20.0,1051050.0,34928.8125
guatemala,5.0,50.0,21.0,1051050.0,15888.2080078125
guatemala,5.0,50.0,22.0,1051050.0,33509.45703125
guatemala,5.0,50.0,23.0,1051050.0,29144.751953125
guatemala,5.0,52.0,24.0,1051052.0,4698.9453125
guatemala,5.0,52.0,25.0,1051052.0,20864.8046875
guatemala,5.0,52.0,26.0,1051052.0,16300.9228515625
guatemala,5.0,52.0,27.0,1051052.0,33321.90625
guatemala,5.0,52.0,28.0,1051052.0,39002.84375
guatemala,5.0,52.0,29.0,1051052.0,24943.099609375
guatemala,5.0,52.0,30.0,1051052.0,32995.7734375
guatemala,5.0,52.0,31.0,1051052.0,6191.291015625
guatemala,5.0,52.0,32.0,1051052.0,18237.904296875
guatemala,5.0,52.0,33.0,1051052.0,9942.197265625
guatemala,5.0,52.0,34.0,1051052.0,33791.69921875
guatemala,5.0,52.0,35.0,1051052.0,28689.1875
guatemala,6.0,8.0,36.0,1061008.0,2775.22509765625
guatemala,6.0,8.0,37.0,1061008.0,12816.28515625
guatemala,6.0,8.0,38.0,1061008.0,8350.076171875
guatemala,6.0,8.0,39.0,1061008.0,25131.84375
guatemala,6.0,8.0,40.0,1061008.0,18405.548828125
guatemala,6.0,8.0,41.0,1061008.0,5008.05810546875
guatemala,6.0,8.0,42.0,1061008.0,12030.759765625
guatemala,6.0,8.0,43.0,1061008.0,8686.912109375
guatemala,6.0,8.0,44.0,1061008.0,9597.56640625
guatemala,6.0,8.0,45.0,1061008.0,7145.11328125
guatemala,6.0,18.0,46.0,1061018.0,19799.560546875
guatemala,6.0,18.0,47.0,1061018.0,15844.361328125
guatemala,6.0,18.0,48.0,1061018.0,27345.1640625
guatemala,6.0,18.0,49.0,1061018.0,94126.1171875
guatemala,6.0,18.0,50.0,1061018.0,38117.6484375
guatemala,6.0,18.0,51.0,1061018.0,9447.892578125
guatemala,6.0,18.0,52.0,1061018.0,10479.7900390625
guatemala,6.0,18.0,53.0,1061018.0,15532.1552734375
guatemala,6.0,46.0,54.0,1061046.0,9161.6083984375
guatemala,6.0,46.0,55.0,1061046.0,9072.83203125
guatemala,6.0,46.0,56.0,1061046.0,16234.6435546875
guatemala,6.0,46.0,57.0,1061046.0,15552.53125
guatemala,6.0,46.0,58.0,1061046.0,11687.93359375
guatemala,6.0,46.0,59.0,1061046.0,21361.46484375
guatemala,6.0,46.0,60.0,1061046.0,20078.4609375
guatemala,6.0,46.0,61.0,1061046.0,11101.56640625
guatemala,6.0,46.0,62.0,1061046.0,8636.8818359375
guatemala,6.0,78.0,63.0,1061078.0,7766.81982421875
guatemala,6.0,78.0,64.0,1061078.0,5788.0517578125
guatemala,6.0,78.0,65.0,1061078.0,9619.580078125
guatemala,6.0,78.0,66.0,1061078.0,12493.5322265625
guatemala,6.0,78.0,67.0,1061078.0,7640.93310546875
guatemala,6.0,78.0,68.0,1061078.0,10271.435546875
guatemala,6.0,78.0,69.0,1061078.0,14391.2490234375
guatemala,7.0,17.0,70.0,1071017.0,26194.052734375
guatemala,7.0,17.0,71.0,1071017.0,28462.154296875
guatemala,7.0,17.0,72.0,1071017.0,42659.55859375
guatemala,7.0,17.0,73.0,1071017.0,18154.994140625
guatemala,7.0,17.0,74.0,1071017.0,25882.392578125
guatemala,7.0,17.0,75.0,1071017.0,18088.12890625
guatemala,7.0,17.0,76.0,1071017.0,33200.0
guatemala,7.0,18.0,77.0,1071018.0,43505.62890625
guatemala,7.0,18.0,78.0,1071018.0,37754.671875
guatemala,7.0,18.0,79.0,1071018.0,15421.6064453125
guatemala,7.0,18.0,80.0,1071018.0,22411.119140625
guatemala,7.0,18.0,81.0,1071018.0,20726.21484375
guatemala,7.0,18.0,82.0,1071018.0,42780.75390625
guatemala,7.0,18.0,83.0,1071018.0,18044.271484375
guatemala,7.0,41.0,84.0,1071041.0,21718.119140625
guatemala,7.0,41.0,85.0,1071041.0,63336.94921875
guatemala,7.0,41.0,86.0,1071041.0,14798.7734375
guatemala,7.0,41.0,87.0,1071041.0,33120.88671875
guatemala,7.0,41.0,88.0,1071041.0,33553.62109375
guatemala,7.0,41.0,89.0,1071041.0,31297.341796875
guatemala,7.0,41.0,90.0,1071041.0,72376.859375
guatemala,7.0,41.0,91.0,1071041.0,55344.1640625
guatemala,7.0,41.0,92.0,1071041.0,31259.8203125
guatemala,7.0,41.0,93.0,1071041.0,50331.49609375
guatemala,7.0,47.0,94.0,1071047.0,54984.74609375
guatemala,7.0,47.0,95.0,1071047.0,25402.744140625
guatemala,7.0,47.0,96.0,1071047.0,18829.904296875
guatemala,7.0,47.0,97.0,1071047.0,22469.84375
guatemala,7.0,47.0,98.0,1071047.0,46890.89453125
guatemala,7.0,47.0,99.0,1071047.0,35766.36328125
guatemala,7.0,47.0,100.0,1071047.0,20884.62109375
guatemala,7.0,49.0,101.0,1071049.0,5601.17724609375
guatemala,7.0,49.0,102.0,1071049.0,16885.796875
guatemala,7.0,49.0,103.0,1071049.0,40638.046875
guatemala,7.0,49.0,104.0,1071049.0,15120.615234375
guatemala,7.0,49.0,105.0,1071049.0,5018.25537109375
guatemala,7.0,49.0,106.0,1071049.0,9374.3466796875
guatemala,7.0,49.0,107.0,1071049.0,6643.14013671875
guatemala,7.0,86.0,108.0,1071086.0,6240.9990234375
guatemala,7.0,86.0,109.0,1071086.0,41478.55859375
guatemala,7.0,86.0,110.0,1071086.0,7922.65869140625
guatemala,7.0,86.0,111.0,1071086.0,13400.990234375
guatemala,7.0,86.0,112.0,1071086.0,17756.935546875
guatemala,7.0,86.0,113.0,1071086.0,22192.294921875
guatemala,7.0,86.0,114.0,1071086.0,6675.42578125
guatemala,7.0,86.0,115.0,1071086.0,16692.083984375
guatemala,7.0,120.0,116.0,1071120.0,16539.208984375
guatemala,7.0,120.0,117.0,1071120.0,8628.314453125
guatemala,7.0,120.0,118.0,1071120.0,15529.5869140625
guatemala,7.0,120.0,119.0,1071120.0,13742.349609375
guatemala,7.0,120.0,120.0,1071120.0,5509.013671875
guatemala,7.0,120.0,121.0,1071120.0,18440.849609375
guatemala,7.0,120.0,122.0,1071120.0,16147.275390625
guatemala,7.0,120.0,123.0,1071120.0,25075.341796875
guatemala,7.0,139.0,124.0,1071139.0,6053.8310546875
guatemala,7.0,139.0,125.0,1071139.0,11442.2158203125
guatemala,7.0,139.0,126.0,1071139.0,7302.53271484375
guatemala,7.0,139.0,127.0,1071139.0,5581.16357421875
guatemala,7.0,139.0,128.0,1071139.0,4388.40869140625
guatemala,7.0,139.0,129.0,1071139.0,3274.664306640625
guatemala,7.0,139.0,130.0,1071139.0,2784.696533203125
guatemala,7.0,139.0,131.0,1071139.0,9907.5927734375
guatemala,7.0,139.0,132.0,1071139.0,3510.679443359375
guatemala,7.0,139.0,133.0,1071139.0,2718.847412109375
guatemala,7.0,141.0,134.0,1071141.0,14208.046875
guatemala,7.0,141.0,135.0,1071141.0,9043.64453125
guatemala,7.0,141.0,136.0,1071141.0,7873.67431640625
guatemala,7.0,141.0,137.0,1071141.0,7274.98095703125
guatemala,7.0,141.0,138.0,1071141.0,6833.37939453125
guatemala,7.0,141.0,139.0,1071141.0,12465.734375
guatemala,7.0,141.0,140.0,1071141.0,5491.11328125
guatemala,7.0,141.0,141.0,1071141.0,15834.9482421875
guatemala,7.0,141.0,142.0,1071141.0,10653.6796875
guatemala,7.0,141.0,143.0,1071141.0,8371.796875
guatemala,8.0,1.0,144.0,1081001.0,13313.18359375
guatemala,8.0,1.0,145.0,1081001.0,23801.919921875
guatemala,8.0,1.0,146.0,1081001.0,4666.67333984375
guatemala,8.0,1.0,147.0,1081001.0,10426.8369140625
guatemala,8.0,1.0,148.0,1081001.0,15937.6484375
guatemala,8.0,1.0,149.0,1081001.0,22348.03515625
guatemala,8.0,1.0,150.0,1081001.0,23832.03125
guatemala,8.0,1.0,151.0,1081001.0,8966.705078125
guatemala,8.0,1.0,152.0,1081001.0,25821.419921875
guatemala,8.0,1.0,153.0,1081001.0,19044.384765625
guatemala,8.0,15.0,154.0,1081015.0,19133.0
guatemala,8.0,15.0,155.0,1081015.0,30656.8515625
guatemala,8.0,15.0,156.0,1081015.0,48489.6328125
guatemala,8.0,15.0,157.0,1081015.0,37893.015625
guatemala,8.0,15.0,158.0,1081015.0,28097.14453125
guatemala,8.0,15.0,159.0,1081015.0,36365.85546875
guatemala,8.0,15.0,160.0,1081015.0,27207.177734375
guatemala,9.0,5.0,161.0,1091005.0,20073.4921875
guatemala,9.0,5.0,162.0,1091005.0,30383.56640625
guatemala,9.0,5.0,163.0,1091005.0,24416.60546875
guatemala,9.0,5.0,164.0,1091005.0,30977.087890625
guatemala,9.0,5.0,165.0,1091005.0,63718.7109375
guatemala,9.0,5.0,166.0,1091005.0,34088.90625
guatemala,9.0,5.0,167.0,1091005.0,45561.625
guatemala,9.0,5.0,168.0,1091005.0,35015.015625
guatemala,10.0,2.0,169.0,1101002.0,21466.810546875
guatemala,10.0,2.0,170.0,1101002.0,103855.875
guatemala,10.0,2.0,171.0,1101002.0,19470.8984375
guatemala,10.0,2.0,172.0,1101002.0,37074.1171875
guatemala,10.0,2.0,173.0,1101002.0,51239.78515625
guatemala,10.0,2.0,174.0,1101002.0,21379.8203125
guatemala,10.0,5.0,175.0,1101005.0,81179.6953125
guatemala,10.0,5.0,176.0,1101005.0,33084.97265625
guatemala,10.0,5.0,177.0,1101005.0,8037.8583984375
guatemala,11.0,2.0,178.0,1111002.0,101186.1015625
guatemala,11.0,2.0,179.0,1111002.0,34667.546875
guatemala,11.0,2.0,180.0,1111002.0,66065.5546875
guatemala,11.0,2.0,181.0,1111002.0,35270.79296875
guatemala,11.0,2.0,182.0,1111002.0,26800.578125
guatemala,11.0,7.0,183.0,1111007.0,19340.03125
guatemala,11.0,7.0,184.0,1111007.0,55963.88671875
guatemala,11.0,7.0,185.0,1111007.0,54264.16015625
guatemala,11.0,7.0,186.0,1111007.0,22286.052734375
guatemala,11.0,8.0,187.0,1111008.0,15623.7060546875
guatemala,11.0,8.0,188.0,1111008.0,25969.84375
guatemala,11.0,8.0,189.0,1111008.0,34486.78125
guatemala,11.0,8.0,190.0,1111008.0,68327.640625
guatemala,11.0,8.0,191.0,1111008.0,30660.638671875
guatemala,11.0,8.0,192.0,1111008.0,39224.75
guatemala,11.0,9.0,193.0,1111009.0,38012.48046875
guatemala,11.0,9.0,194.0,1111009.0,4219.0556640625
guatemala,11.0,9.0,195.0,1111009.0,7632.40478515625
guatemala,11.0,9.0,196.0,1111009.0,19086.208984375
guatemala,11.0,9.0,197.0,1111009.0,49500.59375
guatemala,11.0,10.0,198.0,1111010.0,8185.69873046875
guatemala,11.0,10.0,199.0,1111010.0,44535.37890625
guatemala,11.0,10.0,200.0,1111010.0,26862.439453125
guatemala,11.0,10.0,201.0,1111010.0,24484.69921875
guatemala,11.0,10.0,202.0,1111010.0,7020.4111328125
guatemala,11.0,10.0,203.0,1111010.0,9687.6806640625
guatemala,11.0,10.0,204.0,1111010.0,22533.509765625
guatemala,11.0,10.0,205.0,1111010.0,51992.02734375
guatemala,11.0,15.0,206.0,1111015.0,4168.5908203125
guatemala,11.0,15.0,207.0,1111015.0,8872.9296875
guatemala,11.0,15.0,208.0,1111015.0,10337.2509765625
guatemala,11.0,15.0,209.0,1111015.0,6521.2724609375
