depto,mupio,sector,c02act,c02a01
1,5,50,carreter,si
1,5,50,carreter,no
1,5,50,camino d,no
1,5,50,veredas,no
1,5,50,"mar, lag",no
1,5,50,tren (vi,no
1,5,50,avión (v,no
1,5,50,"otro, cu",no
1,6,8,carreter,no
1,6,8,carreter,no
1,6,8,camino d,no
1,6,8,veredas,si
1,6,8,"mar, lag",no
1,6,8,tren (vi,no
1,6,8,avión (v,no
1,6,8,"otro, cu",no
1,6,18,carreter,si
1,6,18,carreter,si
1,6,18,camino d,no
1,6,18,veredas,no
1,6,18,"mar, lag",no
1,6,18,tren (vi,no
1,6,18,avión (v,no
1,6,18,"otro, cu",no
1,6,78,carreter,si
1,6,78,carreter,si
1,6,78,camino d,no
1,6,78,veredas,no
1,6,78,"mar, lag",no
1,6,78,tren (vi,no
1,6,78,avión (v,no
1,6,78,"otro, cu",no
1,7,17,carreter,si
1,7,17,carreter,no
1,7,17,camino d,no
1,7,17,veredas,no
1,7,17,"mar, lag",no
1,7,17,tren (vi,no
1,7,17,avión (v,no
1,7,17,"otro, cu",no
1,7,49,carreter,si
1,7,49,carreter,no
1,7,49,camino d,no
1,7,49,veredas,no
1,7,49,"mar, lag",no
1,7,49,tren (vi,no
1,7,49,avión (v,no
1,7,49,"otro, cu",no
1,7,139,carreter,si
1,7,139,carreter,no
1,7,139,camino d,no
1,7,139,veredas,no
1,7,139,"mar, lag",no
1,7,139,tren (vi,no
1,7,139,avión (v,no
1,7,139,"otro, cu",no
1,7,141,carreter,no
1,7,141,carreter,si
1,7,141,camino d,no
1,7,141,veredas,no
1,7,141,"mar, lag",no
1,7,141,tren (vi,no
1,7,141,avión (v,no
1,7,141,"otro, cu",no
1,8,1,carreter,si
1,8,1,carreter,no
1,8,1,camino d,no
1,8,1,veredas,no
1,8,1,"mar, lag",no
1,8,1,tren (vi,no
1,8,1,avión (v,no
1,8,1,"otro, cu",no
1,12,24,carreter,si
1,12,24,carreter,no
1,12,24,camino d,no
1,12,24,veredas,no
1,12,24,"mar, lag",no
1,12,24,tren (vi,no
1,12,24,avión (v,no
1,12,24,"otro, cu",no
1,12,58,carreter,si
1,12,58,carreter,si
1,12,58,camino d,no
1,12,58,veredas,no
1,12,58,"mar, lag",no
1,12,58,tren (vi,no
1,12,58,avión (v,no
1,12,58,"otro, cu",no
1,16,10,carreter,si
1,16,10,carreter,si
1,16,10,camino d,si
1,16,10,veredas,no
1,16,10,"mar, lag",no
1,16,10,tren (vi,no
1,16,10,avión (v,no
1,16,10,"otro, cu",no
1,18,56,carreter,si
1,18,56,carreter,no
1,18,56,camino d,no
1,18,56,veredas,no
1,18,56,"mar, lag",no
1,18,56,tren (vi,no
1,18,56,avión (v,no
1,18,56,"otro, cu",no
1,18,71,carreter,si
1,18,71,carreter,no
1,18,71,camino d,si
1,18,71,veredas,si
1,18,71,"mar, lag",no
1,18,71,tren (vi,no
1,18,71,avión (v,no
1,18,71,"otro, cu",no
1,18,76,carreter,si
1,18,76,carreter,si
1,18,76,camino d,no
1,18,76,veredas,si
1,18,76,"mar, lag",no
1,18,76,tren (vi,no
1,18,76,avión (v,no
1,18,76,"otro, cu",no
1,18,106,carreter,si
1,18,106,carreter,no
1,18,106,camino d,si
1,18,106,veredas,si
1,18,106,"mar, lag",no
1,18,106,tren (vi,no
1,18,106,avión (v,no
1,18,106,"otro, cu",no
1,18,136,carreter,no
1,18,136,carreter,si
1,18,136,camino d,no
1,18,136,veredas,no
1,18,136,"mar, lag",no
1,18,136,tren (vi,no
1,18,136,avión (v,no
1,18,136,"otro, cu",no
1,18,137,carreter,si
1,18,137,carreter,no
1,18,137,camino d,no
1,18,137,veredas,no
1,18,137,"mar, lag",no
1,18,137,tren (vi,no
1,18,137,avión (v,no
1,18,137,"otro, cu",no
1,19,13,carreter,si
1,19,13,carreter,no
1,19,13,camino d,no
1,19,13,veredas,no
1,19,13,"mar, lag",no
1,19,13,tren (vi,no
1,19,13,avión (v,no
1,19,13,"otro, cu",no
1,26,1,carreter,no
1,26,1,carreter,si
1,26,1,camino d,no
1,26,1,veredas,si
1,26,1,"mar, lag",no
1,26,1,tren (vi,no
1,26,1,avión (v,no
1,26,1,"otro, cu",no
1,26,19,carreter,si
1,26,19,carreter,si
1,26,19,camino d,si
1,26,19,veredas,si
1,26,19,"mar, lag",no
1,26,19,tren (vi,no
1,26,19,avión (v,no
1,26,19,"otro, cu",no
1,27,45,carreter,si
1,27,45,carreter,no
1,27,45,camino d,no
1,27,45,veredas,si
1,27,45,"mar, lag",no
1,27,45,tren (vi,no
1,27,45,avión (v,no
1,27,45,"otro, cu",no
1,28,7,carreter,si
1,28,7,carreter,no
1,28,7,camino d,si
1,28,7,veredas,no
1,28,7,"mar, lag",no
1,28,7,tren (vi,no
1,28,7,avión (v,no
1,28,7,"otro, cu",no
1,29,60,carreter,si
1,29,60,carreter,si
1,29,60,camino d,si
1,29,60,veredas,si
1,29,60,"mar, lag",no
1,29,60,tren (vi,no
1,29,60,avión (v,no
1,29,60,"otro, cu",no
1,29,68,carreter,si
1,29,68,carreter,no
1,29,68,camino d,no
1,29,68,veredas,no
1,29,68,"mar, lag",no
1,29,68,tren (vi,no
1,29,68,avión (v,no
1,29,68,"otro, cu",no
1,29,72,carreter,si
1,29,72,carreter,si
1,29,72,camino d,no
1,29,72,veredas,no
1,29,72,"mar, lag",no
1,29,72,tren (vi,no
1,29,72,avión (v,no
1,29,72,"otro, cu",no
1,29,82,carreter,no
1,29,82,carreter,si
1,29,82,camino d,no
1,29,82,veredas,no
1,29,82,"mar, lag",no
1,29,82,tren (vi,no
1,29,82,avión (v,no
1,29,82,"otro, cu",no
1,29,122,carreter,si
1,29,122,carreter,si
1,29,122,camino d,no
1,29,122,veredas,no
1,29,122,"mar, lag",no
1,29,122,tren (vi,no
1,29,122,avión (v,no
1,29,122,"otro, cu",no
1,29,159,carreter,si
1,29,159,carreter,si
1,29,159,camino d,no
1,29,159,veredas,no
1,29,159,"mar, lag",no
1,29,159,tren (vi,no
1,29,159,avión (v,no
1,29,159,"otro, cu",no
1,29,356,carreter,si
1,29,356,carreter,no
1,29,356,camino d,no
1,29,356,veredas,si
1,29,356,"mar, lag",no
1,29,356,tren (vi,no
1,29,356,avión (v,no
1,29,356,"otro, cu",no
1,29,371,carreter,si
1,29,371,carreter,no
1,29,371,camino d,no
1,29,371,veredas,no
1,29,371,"mar, lag",no
1,29,371,tren (vi,no
1,29,371,avión (v,no
1,29,371,"otro, cu",no
