depto,mupio,sector,c02b01,c02b02a,c02b02b
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,5,50,SI,1,Kilometr
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,8,NO,4,Cuadras
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,18,SI,2,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,6,78,SI,6,Kilometr
1,7,17,SI,2,Kilometr
1,7,17,SI,2,Kilometr
1,7,17,NO,2,Kilometr
1,7,17,NO,4,Kilometr
1,7,17,NO,5,Kilometr
1,7,17,SI,2,Kilometr
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,17,NO,NS / NR,NS / NR
1,7,49,SI,,
1,7,49,SI,,
1,7,49,SI,,
1,7,49,NO,NS / NR,NS / NR
1,7,49,NO,NS / NR,NS / NR
1,7,49,NO,NS / NR,NS / NR
1,7,49,SI,10,Cuadras
1,7,49,NO,NS / NR,NS / NR
1,7,49,NO,NS / NR,NS / NR
1,7,49,SI,4,Cuadras
1,7,49,SI,5,Cuadras
1,7,49,NO,NS / NR,NS / NR
1,7,49,SI,3,Cuadras
1,7,49,SI,5,Cuadras
1,7,49,NO,NS / NR,NS / NR
1,7,49,NO,NS / NR,NS / NR
1,7,49,NO,NS / NR,NS / NR
1,7,49,SI,6,Cuadras
1,7,49,SI,10,Cuadras
1,7,49,SI,10,Cuadras
1,7,49,NO,NS / NR,NS / NR
1,7,49,SI,15,Cuadras
1,7,49,SI,6,Cuadras
1,7,49,NO,NS / NR,NS / NR
1,7,49,,,
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,139,NO,2,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,7,141,NO,1,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,8,1,NO,12,Kilometr
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,2,Kilometr
1,12,24,NO,2,Kilometr
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,1,Cuadras
1,12,24,SI,,
1,12,24,NO,NS / NR,NS / NR
1,12,24,SI,,
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,NO,NS / NR,NS / NR
1,12,24,,,
1,12,24,,,
1,12,24,,,
1,12,58,NO,3,Cuadras
1,12,58,NO,3,Cuadras
1,12,58,NO,3,Cuadras
1,12,58,NO,2,Cuadras
1,12,58,NO,10,Kilometr
1,12,58,NO,5,Kilometr
1,12,58,NO,4,Cuadras
1,12,58,NO,NS / NR,NS / NR
1,12,58,NO,NS / NR,NS / NR
1,12,58,NO,3,Leguas
1,12,58,NO,3,Leguas
1,12,58,NO,4,Cuadras
1,12,58,SI,,
1,12,58,NO,5,Cuadras
1,12,58,NO,NS / NR,NS / NR
1,12,58,NO,NS / NR,NS / NR
1,12,58,NO,5,Kilometr
1,12,58,NO,5,Cuadras
1,12,58,SI,,
1,12,58,NO,5,Cuadras
1,12,58,NO,NS / NR,NS / NR
1,12,58,NO,NS / NR,NS / NR
1,12,58,NO,NS / NR,NS / NR
1,12,58,NO,NS / NR,NS / NR
1,12,58,,,
1,16,10,SI,5,Kilometr
1,16,10,SI,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,NO,5,Kilometr
1,16,10,SI,6,Metros
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,SI,5,Cuadras
1,18,56,NO,NS / NR,NS / NR
1,18,56,NO,NS / NR,NS / NR
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,71,NO,4,Cuadras
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
1,18,76,SI,1,Kilometr
