hhid,item,p01b04a,p01b04b,p01b04c,p01b04d
1.0,candelas y/o veladoras,,,,
1.0,kerosene (gas corriente),,,,
1.0,gas propano,si,no,no,
1.0,carbon,,,,
1.0,baterias,si,si,no,
1.0,electricidad,si,no,no,no
1.0,leÑa o palos,,,,
1.0,otra fuente de energia,,,,
2.0,candelas y/o veladoras,,,,
2.0,kerosene (gas corriente),,,,
2.0,gas propano,si,no,no,
2.0,carbon,,,,
2.0,baterias,,,,
2.0,electricidad,si,no,no,no
2.0,leÑa o palos,,,,
2.0,otra fuente de energia,,,,
3.0,candelas y/o veladoras,,,,
3.0,kerosene (gas corriente),,,,
3.0,gas propano,si,no,no,
3.0,carbon,si,no,no,no
3.0,baterias,si,no,no,
3.0,electricidad,si,no,no,no
3.0,leÑa o palos,,,,
3.0,otra fuente de energia,,,,
4.0,candelas y/o veladoras,,,,
4.0,kerosene (gas corriente),,,,
4.0,gas propano,si,no,no,
4.0,carbon,,,,
4.0,baterias,,,,
4.0,electricidad,si,no,no,no
4.0,leÑa o palos,,,,
4.0,otra fuente de energia,,,,
5.0,candelas y/o veladoras,no,no,si,
5.0,kerosene (gas corriente),,,,
5.0,gas propano,si,no,no,
5.0,carbon,si,no,no,no
5.0,baterias,si,no,no,
5.0,electricidad,si,no,no,no
5.0,leÑa o palos,,,,
5.0,otra fuente de energia,,,,
6.0,candelas y/o veladoras,no,si,no,
6.0,kerosene (gas corriente),,,,
6.0,gas propano,,,,
6.0,carbon,si,no,no,no
6.0,baterias,no,si,no,
6.0,electricidad,si,no,no,no
6.0,leÑa o palos,,,,
6.0,otra fuente de energia,,,,
7.0,candelas y/o veladoras,,,,
7.0,kerosene (gas corriente),,,,
7.0,gas propano,si,no,no,
7.0,carbon,,,,
7.0,baterias,,,,
7.0,electricidad,si,no,no,no
7.0,leÑa o palos,,,,
7.0,otra fuente de energia,,,,
8.0,candelas y/o veladoras,,,,
8.0,kerosene (gas corriente),,,,
8.0,gas propano,si,no,no,
8.0,carbon,si,no,no,no
8.0,baterias,,,,
8.0,electricidad,si,no,no,no
8.0,leÑa o palos,,,,
8.0,otra fuente de energia,,,,
9.0,candelas y/o veladoras,,,,
9.0,kerosene (gas corriente),,,,
9.0,gas propano,si,no,no,
9.0,carbon,,,,
9.0,baterias,no,si,si,
9.0,electricidad,si,no,si,no
9.0,leÑa o palos,,,,
9.0,otra fuente de energia,,,,
10.0,candelas y/o veladoras,,,,
10.0,kerosene (gas corriente),,,,
10.0,gas propano,si,no,no,
10.0,carbon,si,no,no,no
10.0,baterias,no,si,no,
10.0,electricidad,si,no,si,no
10.0,leÑa o palos,,,,
10.0,otra fuente de energia,,,,
11.0,candelas y/o veladoras,,,,
11.0,kerosene (gas corriente),,,,
11.0,gas propano,si,no,no,
11.0,carbon,,,,
11.0,baterias,no,si,no,
11.0,electricidad,si,no,no,no
11.0,leÑa o palos,,,,
11.0,otra fuente de energia,,,,
12.0,candelas y/o veladoras,,,,
12.0,kerosene (gas corriente),,,,
12.0,gas propano,si,no,no,
12.0,carbon,,,,
12.0,baterias,si,si,si,
12.0,electricidad,si,no,no,no
12.0,leÑa o palos,,,,
12.0,otra fuente de energia,,,,
13.0,candelas y/o veladoras,,,,
13.0,kerosene (gas corriente),,,,
13.0,gas propano,si,no,no,
13.0,carbon,,,,
13.0,baterias,si,no,no,
13.0,electricidad,si,no,no,no
13.0,leÑa o palos,,,,
13.0,otra fuente de energia,,,,
14.0,candelas y/o veladoras,si,no,no,
14.0,kerosene (gas corriente),,,,
14.0,gas propano,si,no,no,
14.0,carbon,,,,
14.0,baterias,,,,
14.0,electricidad,si,si,no,no
14.0,leÑa o palos,,,,
14.0,otra fuente de energia,,,,
15.0,candelas y/o veladoras,,,,
15.0,kerosene (gas corriente),,,,
15.0,gas propano,si,no,no,
15.0,carbon,,,,
15.0,baterias,no,si,no,
15.0,electricidad,si,no,si,no
15.0,leÑa o palos,,,,
15.0,otra fuente de energia,,,,
16.0,candelas y/o veladoras,,,,
16.0,kerosene (gas corriente),,,,
16.0,gas propano,si,no,no,
16.0,carbon,,,,
16.0,baterias,si,no,no,
16.0,electricidad,si,no,no,no
16.0,leÑa o palos,,,,
16.0,otra fuente de energia,,,,
17.0,candelas y/o veladoras,,,,
17.0,kerosene (gas corriente),,,,
17.0,gas propano,si,no,no,
17.0,carbon,,,,
17.0,baterias,,,,
17.0,electricidad,si,no,no,no
17.0,leÑa o palos,,,,
17.0,otra fuente de energia,,,,
18.0,candelas y/o veladoras,,,,
18.0,kerosene (gas corriente),,,,
18.0,gas propano,si,no,no,
18.0,carbon,si,no,no,no
18.0,baterias,si,no,no,
18.0,electricidad,si,no,si,no
18.0,leÑa o palos,no,si,no,
18.0,otra fuente de energia,no,no,si,no
19.0,candelas y/o veladoras,,,,
19.0,kerosene (gas corriente),,,,
19.0,gas propano,si,no,no,
19.0,carbon,,,,
19.0,baterias,,,,
19.0,electricidad,si,no,no,no
19.0,leÑa o palos,,,,
19.0,otra fuente de energia,,,,
20.0,candelas y/o veladoras,,,,
20.0,kerosene (gas corriente),,,,
20.0,gas propano,si,no,no,
20.0,carbon,,,,
20.0,baterias,si,no,no,
20.0,electricidad,si,no,no,no
20.0,leÑa o palos,,,,
20.0,otra fuente de energia,,,,
21.0,candelas y/o veladoras,,,,
21.0,kerosene (gas corriente),,,,
21.0,gas propano,si,no,no,
21.0,carbon,,,,
21.0,baterias,,,,
21.0,electricidad,si,no,no,no
21.0,leÑa o palos,,,,
21.0,otra fuente de energia,,,,
22.0,candelas y/o veladoras,,,,
22.0,kerosene (gas corriente),,,,
22.0,gas propano,si,no,no,
22.0,carbon,,,,
22.0,baterias,,,,
22.0,electricidad,si,no,no,no
22.0,leÑa o palos,,,,
22.0,otra fuente de energia,,,,
23.0,candelas y/o veladoras,si,no,no,
23.0,kerosene (gas corriente),,,,
23.0,gas propano,si,no,no,
23.0,carbon,si,no,no,no
23.0,baterias,no,si,no,
23.0,electricidad,si,no,no,no
23.0,leÑa o palos,,,,
23.0,otra fuente de energia,,,,
24.0,candelas y/o veladoras,si,si,no,
24.0,kerosene (gas corriente),,,,
24.0,gas propano,,,,
24.0,carbon,si,no,no,no
24.0,baterias,no,no,si,
24.0,electricidad,si,no,no,no
24.0,leÑa o palos,si,no,no,
24.0,otra fuente de energia,,,,
25.0,candelas y/o veladoras,,,,
25.0,kerosene (gas corriente),,,,
25.0,gas propano,si,no,no,
25.0,carbon,,,,
25.0,baterias,no,si,no,
25.0,electricidad,si,no,no,no
25.0,leÑa o palos,,,,
25.0,otra fuente de energia,,,,
26.0,candelas y/o veladoras,,,,
26.0,kerosene (gas corriente),,,,
26.0,gas propano,si,no,no,
26.0,carbon,,,,
26.0,baterias,no,si,no,
26.0,electricidad,si,no,no,no
26.0,leÑa o palos,,,,
26.0,otra fuente de energia,,,,
27.0,candelas y/o veladoras,,,,
27.0,kerosene (gas corriente),,,,
27.0,gas propano,si,no,no,
27.0,carbon,si,no,no,no
27.0,baterias,si,si,no,
27.0,electricidad,si,no,no,no
27.0,leÑa o palos,,,,
27.0,otra fuente de energia,,,,
28.0,candelas y/o veladoras,,,,
28.0,kerosene (gas corriente),,,,
28.0,gas propano,si,no,no,
28.0,carbon,si,no,no,no
28.0,baterias,,,,
28.0,electricidad,si,no,si,no
28.0,leÑa o palos,,,,
28.0,otra fuente de energia,,,,
29.0,candelas y/o veladoras,no,si,no,
29.0,kerosene (gas corriente),,,,
29.0,gas propano,si,no,no,
29.0,carbon,si,no,no,no
29.0,baterias,no,si,no,
29.0,electricidad,si,no,no,no
29.0,leÑa o palos,,,,
29.0,otra fuente de energia,,,,
30.0,candelas y/o veladoras,,,,
30.0,kerosene (gas corriente),,,,
30.0,gas propano,si,no,no,
30.0,carbon,si,no,no,no
30.0,baterias,si,si,si,
30.0,electricidad,si,no,no,no
30.0,leÑa o palos,,,,
30.0,otra fuente de energia,,,,
31.0,candelas y/o veladoras,,,,
31.0,kerosene (gas corriente),,,,
31.0,gas propano,si,no,no,
31.0,carbon,,,,
31.0,baterias,no,si,si,
31.0,electricidad,si,no,no,no
31.0,leÑa o palos,,,,
31.0,otra fuente de energia,,,,
32.0,candelas y/o veladoras,,,,
32.0,kerosene (gas corriente),,,,
32.0,gas propano,si,no,no,
32.0,carbon,,,,
32.0,baterias,si,si,no,
32.0,electricidad,si,no,no,no
32.0,leÑa o palos,,,,
32.0,otra fuente de energia,,,,
33.0,candelas y/o veladoras,,,,
33.0,kerosene (gas corriente),,,,
33.0,gas propano,si,no,no,
33.0,carbon,,,,
33.0,baterias,no,si,si,
33.0,electricidad,si,no,no,no
33.0,leÑa o palos,,,,
33.0,otra fuente de energia,,,,
34.0,candelas y/o veladoras,,,,
34.0,kerosene (gas corriente),,,,
34.0,gas propano,si,si,no,
34.0,carbon,,,,
34.0,baterias,si,si,no,
34.0,electricidad,si,no,si,no
34.0,leÑa o palos,,,,
34.0,otra fuente de energia,,,,
35.0,candelas y/o veladoras,,,,
35.0,kerosene (gas corriente),,,,
35.0,gas propano,si,no,no,
35.0,carbon,si,no,no,no
35.0,baterias,si,si,no,
35.0,electricidad,si,no,no,no
35.0,leÑa o palos,,,,
35.0,otra fuente de energia,,,,
36.0,candelas y/o veladoras,si,no,no,
36.0,kerosene (gas corriente),,,,
36.0,gas propano,,,,
36.0,carbon,,,,
36.0,baterias,no,si,no,
36.0,electricidad,9.0,9.0,9.0,9.0
36.0,leÑa o palos,si,no,no,
36.0,otra fuente de energia,,,,
37.0,candelas y/o veladoras,,,,
37.0,kerosene (gas corriente),,,,
37.0,gas propano,si,no,no,
37.0,carbon,,,,
37.0,baterias,no,si,no,
37.0,electricidad,si,no,no,no
37.0,leÑa o palos,,,,
37.0,otra fuente de energia,,,,
38.0,candelas y/o veladoras,,,,
38.0,kerosene (gas corriente),,,,
38.0,gas propano,si,no,no,
38.0,carbon,,,,
38.0,baterias,,,,
38.0,electricidad,si,no,no,no
38.0,leÑa o palos,,,,
38.0,otra fuente de energia,,,,
39.0,candelas y/o veladoras,,,,
39.0,kerosene (gas corriente),,,,
39.0,gas propano,si,no,no,
39.0,carbon,,,,
39.0,baterias,,,,
39.0,electricidad,si,no,no,no
39.0,leÑa o palos,,,,
39.0,otra fuente de energia,,,,
40.0,candelas y/o veladoras,,,,
40.0,kerosene (gas corriente),,,,
40.0,gas propano,si,no,no,
40.0,carbon,,,,
40.0,baterias,,,,
40.0,electricidad,si,no,no,no
40.0,leÑa o palos,,,,
40.0,otra fuente de energia,,,,
41.0,candelas y/o veladoras,,,,
41.0,kerosene (gas corriente),,,,
41.0,gas propano,si,no,no,
41.0,carbon,,,,
41.0,baterias,si,no,no,
41.0,electricidad,si,no,no,no
41.0,leÑa o palos,si,no,no,
41.0,otra fuente de energia,,,,
42.0,candelas y/o veladoras,,,,
42.0,kerosene (gas corriente),,,,
42.0,gas propano,si,no,no,
42.0,carbon,,,,
42.0,baterias,si,no,no,
42.0,electricidad,si,no,no,no
42.0,leÑa o palos,,,,
42.0,otra fuente de energia,,,,
43.0,candelas y/o veladoras,,,,
43.0,kerosene (gas corriente),,,,
43.0,gas propano,si,no,no,
43.0,carbon,si,no,no,no
43.0,baterias,no,si,no,
43.0,electricidad,si,no,no,no
43.0,leÑa o palos,,,,
43.0,otra fuente de energia,,,,
44.0,candelas y/o veladoras,,,,
44.0,kerosene (gas corriente),,,,
44.0,gas propano,si,no,no,
44.0,carbon,,,,
44.0,baterias,si,si,no,
44.0,electricidad,si,no,no,no
44.0,leÑa o palos,,,,
44.0,otra fuente de energia,,,,
45.0,candelas y/o veladoras,,,,
45.0,kerosene (gas corriente),,,,
45.0,gas propano,si,no,no,
45.0,carbon,,,,
45.0,baterias,,,,
45.0,electricidad,si,no,no,no
45.0,leÑa o palos,si,no,no,
45.0,otra fuente de energia,,,,
46.0,candelas y/o veladoras,no,si,no,
46.0,kerosene (gas corriente),,,,
46.0,gas propano,si,no,no,
46.0,carbon,si,no,no,no
46.0,baterias,no,si,no,
46.0,electricidad,si,no,no,no
