hhid,caso,sexo,edad,p05a02,p05a03,p05b05,p07b01,p07b06b,p07b29
1.0,1.0,femenino,42.0,jefe (a),viudo (a),otro maya,lee y escribe,,primaria
1.0,2.0,femenino,23.0,hijo (a),soltero (a),otro maya,lee y escribe,2.0,basicos
1.0,3.0,masculino,19.0,hijo (a),soltero (a),otro maya,lee y escribe,6.0,diversificado
1.0,4.0,femenino,0.0,nieto (a),,,,,
2.0,1.0,masculino,60.0,jefe (a),unido (a),no indigena,lee y escribe,,preparatoria
2.0,2.0,femenino,62.0,esposo (a) o compaÑero (a),unido (a),no indigena,lee y escribe,,preparatoria
2.0,3.0,masculino,39.0,hijo (a),soltero (a),no indigena,lee y escribe,,preparatoria
3.0,1.0,masculino,51.0,jefe (a),casado (a),no indigena,lee y escribe,4.0,preparatoria
3.0,2.0,femenino,42.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,
3.0,3.0,masculino,19.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,diversificado
3.0,4.0,masculino,12.0,hijo (a),soltero (a),no indigena,lee y escribe,3.0,
3.0,5.0,masculino,9.0,hijo (a),,no indigena,lee y escribe,3.0,
3.0,6.0,masculino,40.0,hermano (a),soltero (a),no indigena,lee y escribe,,preparatoria
4.0,1.0,femenino,89.0,jefe (a),viudo (a),no indigena,lee y escribe,,preparatoria
5.0,1.0,masculino,49.0,jefe (a),casado (a),no indigena,lee y escribe,,universitario
5.0,2.0,femenino,45.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
5.0,3.0,masculino,5.0,hijo (a),,,,,
6.0,1.0,femenino,42.0,jefe (a),viudo (a),no indigena,lee y escribe,,diversificado
6.0,2.0,femenino,16.0,hijo (a),soltero (a),no indigena,lee y escribe,,diversificado
6.0,3.0,femenino,1.0,nieto (a),,,,,
6.0,4.0,masculino,0.0,nieto (a),,,,,
6.0,5.0,femenino,70.0,hermano (a),viudo (a),no indigena,lee y escribe,,diversificado
7.0,1.0,femenino,79.0,jefe (a),viudo (a),no indigena,no lee ni escribe,,
7.0,2.0,femenino,45.0,hijo (a),separado (a) de union,no indigena,lee y escribe,,preparatoria
7.0,3.0,masculino,17.0,nieto (a),soltero (a),no indigena,lee y escribe,4.0,preparatoria
8.0,1.0,femenino,65.0,jefe (a),unido (a),kaqchikel,no lee ni escribe,,
8.0,2.0,masculino,73.0,esposo (a) o compaÑero (a),unido (a),qeqchi,lee y escribe,,primaria
8.0,3.0,femenino,19.0,hijo (a),soltero (a),qeqchi,lee y escribe,,primaria
9.0,1.0,masculino,70.0,jefe (a),casado (a),no indigena,lee y escribe,,basicos
9.0,2.0,femenino,64.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
10.0,1.0,masculino,59.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
10.0,2.0,femenino,58.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
10.0,3.0,masculino,36.0,hijo (a),separado (a) de matrimonio,no indigena,lee y escribe,,universitario
10.0,4.0,femenino,32.0,hijo (a),soltero (a),no indigena,lee y escribe,5.0,universitario
10.0,5.0,masculino,0.0,nieto (a),,,,,
11.0,1.0,masculino,51.0,jefe (a),casado (a),no indigena,lee y escribe,,universitario
11.0,2.0,femenino,48.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
11.0,3.0,masculino,23.0,hijo (a),soltero (a),no indigena,lee y escribe,5.0,universitario
11.0,4.0,masculino,20.0,hijo (a),soltero (a),no indigena,lee y escribe,2.0,diversificado
11.0,5.0,masculino,14.0,hijo (a),soltero (a),no indigena,lee y escribe,6.0,primaria
11.0,6.0,femenino,12.0,hijo (a),soltero (a),no indigena,lee y escribe,5.0,primaria
12.0,1.0,masculino,38.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
12.0,2.0,femenino,42.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
12.0,3.0,femenino,10.0,hijo (a),soltero (a),no indigena,lee y escribe,4.0,primaria
12.0,4.0,masculino,46.0,cuÑado (a),separado (a) de matrimonio,no indigena,lee y escribe,,diversificado
13.0,1.0,femenino,56.0,jefe (a),soltero (a),no indigena,lee y escribe,,diversificado
13.0,2.0,masculino,17.0,hijo (a),soltero (a),no indigena,lee y escribe,,basicos
13.0,3.0,femenino,58.0,otro no pariente,soltero (a),no indigena,lee y escribe,,diversificado
14.0,1.0,femenino,80.0,jefe (a),viudo (a),no indigena,lee y escribe,,diversificado
14.0,2.0,femenino,36.0,hijo (a),soltero (a),no indigena,lee y escribe,,primaria
15.0,1.0,masculino,44.0,jefe (a),unido (a),no indigena,lee y escribe,,primaria
15.0,2.0,femenino,49.0,esposo (a) o compaÑero (a),unido (a),no indigena,lee y escribe,,basicos
15.0,3.0,femenino,23.0,hijo (a),soltero (a),no indigena,lee y escribe,,diversificado
15.0,4.0,masculino,21.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,diversificado
15.0,5.0,femenino,13.0,hijo (a),soltero (a),no indigena,lee y escribe,6.0,primaria
16.0,1.0,femenino,85.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
17.0,1.0,masculino,82.0,jefe (a),viudo (a),no indigena,lee y escribe,,primaria
18.0,1.0,masculino,52.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
18.0,2.0,femenino,51.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
18.0,3.0,masculino,27.0,hijo (a),soltero (a),no indigena,lee y escribe,5.0,diversificado
18.0,4.0,masculino,24.0,hijo (a),soltero (a),no indigena,lee y escribe,7.0,diversificado
18.0,5.0,masculino,25.0,hijo (a),casado (a),no indigena,lee y escribe,,diversificado
18.0,6.0,femenino,24.0,yerno - nuera,casado (a),no indigena,lee y escribe,,diversificado
18.0,7.0,femenino,8.0,nieto (a),,no indigena,lee y escribe,1.0,preparatoria
18.0,8.0,masculino,2.0,nieto (a),,,,,
18.0,9.0,femenino,0.0,nieto (a),,,,,
18.0,10.0,femenino,69.0,padre - madre,viudo (a),no indigena,lee y escribe,,primaria
19.0,1.0,femenino,47.0,jefe (a),viudo (a),no indigena,lee y escribe,,basicos
19.0,2.0,femenino,6.0,hijo (a),,,,,
20.0,1.0,masculino,58.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
20.0,2.0,femenino,58.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
21.0,1.0,femenino,93.0,jefe (a),soltero (a),no indigena,lee y escribe,,9.0
21.0,2.0,femenino,60.0,empleada domestica,unido (a),kiche,no lee ni escribe,,primaria
22.0,1.0,femenino,24.0,jefe (a),soltero (a),no indigena,lee y escribe,2.0,diversificado
23.0,1.0,masculino,25.0,jefe (a),casado (a),kaqchikel,lee y escribe,3.0,diversificado
23.0,2.0,femenino,25.0,esposo (a) o compaÑero (a),casado (a),kaqchikel,lee y escribe,3.0,diversificado
23.0,3.0,masculino,3.0,hijo (a),,,,,
23.0,4.0,masculino,0.0,hijo (a),,,,,
24.0,1.0,femenino,50.0,jefe (a),soltero (a),kaqchikel,lee y escribe,,primaria
24.0,2.0,femenino,29.0,hijo (a),separado (a) de union,no indigena,lee y escribe,,primaria
24.0,3.0,femenino,3.0,nieto (a),,,,,
24.0,4.0,femenino,1.0,nieto (a),,,,,
25.0,1.0,femenino,52.0,jefe (a),separado (a) de union,no indigena,no lee ni escribe,,
25.0,2.0,femenino,18.0,hijo (a),soltero (a),no indigena,no lee ni escribe,,
26.0,1.0,masculino,54.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
26.0,2.0,femenino,49.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,basicos
26.0,3.0,femenino,23.0,hijo (a),soltero (a),no indigena,lee y escribe,5.0,diversificado
26.0,4.0,femenino,19.0,hijo (a),soltero (a),no indigena,lee y escribe,,basicos
26.0,5.0,femenino,14.0,hijo (a),soltero (a),no indigena,lee y escribe,2.0,basicos
27.0,1.0,masculino,69.0,jefe (a),viudo (a),no indigena,lee y escribe,,universitario
27.0,2.0,femenino,39.0,hijo (a),soltero (a),no indigena,lee y escribe,,universitario
27.0,3.0,masculino,32.0,hijo (a),soltero (a),no indigena,lee y escribe,,universitario
28.0,1.0,masculino,52.0,jefe (a),separado (a) de matrimonio,no indigena,lee y escribe,,diversificado
28.0,2.0,femenino,74.0,padre - madre,viudo (a),kaqchikel,lee y escribe,,primaria
29.0,1.0,masculino,26.0,jefe (a),casado (a),no indigena,lee y escribe,,post-grado
29.0,2.0,femenino,24.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
29.0,3.0,masculino,6.0,hijo (a),,,,,
29.0,4.0,femenino,53.0,padre - madre,divorciado (a),no indigena,lee y escribe,,diversificado
29.0,5.0,masculino,20.0,hermano (a),soltero (a),no indigena,lee y escribe,,diversificado
30.0,1.0,masculino,25.0,jefe (a),unido (a),no indigena,lee y escribe,,diversificado
30.0,2.0,femenino,29.0,esposo (a) o compaÑero (a),unido (a),no indigena,lee y escribe,,diversificado
30.0,3.0,masculino,13.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,primaria
30.0,4.0,femenino,1.0,hijo (a),,,,,
31.0,1.0,femenino,24.0,jefe (a),soltero (a),no indigena,lee y escribe,,primaria
31.0,2.0,masculino,1.0,hijo (a),,,,,
31.0,3.0,femenino,54.0,padre - madre,separado (a) de union,no indigena,no lee ni escribe,,
32.0,1.0,masculino,47.0,jefe (a),casado (a),no indigena,lee y escribe,,universitario
32.0,2.0,femenino,37.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
32.0,3.0,femenino,13.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,primaria
32.0,4.0,masculino,9.0,hijo (a),,no indigena,lee y escribe,3.0,primaria
32.0,5.0,femenino,7.0,hijo (a),,no indigena,lee y escribe,1.0,
33.0,1.0,masculino,21.0,jefe (a),unido (a),no indigena,lee y escribe,,basicos
33.0,2.0,femenino,24.0,esposo (a) o compaÑero (a),unido (a),no indigena,lee y escribe,,diversificado
33.0,3.0,femenino,0.0,hijo (a),,,,,
34.0,1.0,femenino,25.0,jefe (a),separado (a) de union,no indigena,lee y escribe,,diversificado
34.0,2.0,masculino,6.0,hijo (a),,,,,
35.0,1.0,femenino,55.0,jefe (a),viudo (a),no indigena,no lee ni escribe,,
36.0,1.0,masculino,35.0,jefe (a),unido (a),no indigena,no lee ni escribe,,
36.0,2.0,femenino,26.0,esposo (a) o compaÑero (a),unido (a),kaqchikel,no lee ni escribe,,
36.0,3.0,femenino,4.0,hijo (a),,,,,
36.0,4.0,masculino,1.0,hijo (a),,,,,
37.0,1.0,masculino,29.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
37.0,2.0,femenino,26.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
37.0,3.0,femenino,5.0,hijo (a),,,,,
37.0,4.0,femenino,4.0,hijo (a),,,,,
37.0,5.0,masculino,1.0,hijo (a),,,,,
38.0,1.0,masculino,31.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
38.0,2.0,femenino,28.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
38.0,3.0,femenino,8.0,hijo (a),,no indigena,lee y escribe,1.0,
38.0,4.0,femenino,6.0,hijo (a),,,,,
39.0,1.0,masculino,68.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
39.0,2.0,femenino,72.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
40.0,1.0,masculino,61.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
40.0,2.0,femenino,60.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
40.0,3.0,masculino,33.0,hijo (a),soltero (a),no indigena,lee y escribe,2.0,diversificado
41.0,1.0,masculino,25.0,jefe (a),unido (a),no indigena,lee y escribe,,primaria
41.0,2.0,femenino,24.0,esposo (a) o compaÑero (a),unido (a),no indigena,no lee ni escribe,,
41.0,3.0,femenino,5.0,hijo (a),,,,,
41.0,4.0,masculino,1.0,hijo (a),,,,,
42.0,1.0,masculino,33.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
42.0,2.0,femenino,34.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
42.0,3.0,masculino,11.0,hijo (a),soltero (a),no indigena,lee y escribe,5.0,primaria
42.0,4.0,masculino,40.0,cuÑado (a),soltero (a),no indigena,lee y escribe,,diversificado
43.0,1.0,masculino,31.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
43.0,2.0,femenino,29.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
43.0,3.0,femenino,11.0,hijo (a),soltero (a),no indigena,lee y escribe,,primaria
43.0,4.0,masculino,9.0,hijo (a),,no indigena,lee y escribe,3.0,primaria
43.0,5.0,femenino,0.0,hijo (a),,,,,
44.0,1.0,masculino,61.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
44.0,2.0,femenino,65.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
45.0,1.0,masculino,32.0,jefe (a),casado (a),no indigena,lee y escribe,,
45.0,2.0,femenino,29.0,esposo (a) o compaÑero (a),casado (a),no indigena,no lee ni escribe,,
45.0,3.0,femenino,7.0,hijo (a),,no indigena,no lee ni escribe,1.0,
45.0,4.0,masculino,5.0,hijo (a),,,,,
45.0,5.0,masculino,3.0,hijo (a),,,,,
46.0,1.0,masculino,36.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
46.0,2.0,femenino,36.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
46.0,3.0,masculino,4.0,hijo (a),,,,,
47.0,1.0,femenino,65.0,jefe (a),viudo (a),no indigena,lee y escribe,,diversificado
47.0,2.0,femenino,27.0,hijo (a),soltero (a),no indigena,lee y escribe,6.0,diversificado
47.0,3.0,masculino,26.0,hijo (a),soltero (a),no indigena,lee y escribe,2.0,diversificado
47.0,4.0,masculino,24.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,diversificado
48.0,1.0,masculino,36.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
48.0,2.0,femenino,32.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
48.0,3.0,masculino,7.0,hijo (a),,no indigena,lee y escribe,1.0,preparatoria
48.0,4.0,masculino,4.0,hijo (a),,,,,
49.0,1.0,masculino,49.0,jefe (a),soltero (a),no indigena,lee y escribe,,post-grado
50.0,1.0,masculino,26.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
50.0,2.0,femenino,29.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
50.0,3.0,masculino,7.0,hijo (a),,no indigena,lee y escribe,1.0,preparatoria
50.0,4.0,masculino,4.0,hijo (a),,,,,
50.0,5.0,masculino,0.0,hijo (a),,,,,
50.0,6.0,femenino,62.0,padre - madre,divorciado (a),no indigena,lee y escribe,,diversificado
51.0,1.0,masculino,71.0,jefe (a),viudo (a),no indigena,lee y escribe,,primaria
51.0,2.0,femenino,40.0,hijo (a),separado (a) de union,no indigena,lee y escribe,,diversificado
51.0,3.0,masculino,17.0,nieto (a),soltero (a),no indigena,lee y escribe,,primaria
51.0,4.0,masculino,16.0,nieto (a),soltero (a),no indigena,lee y escribe,1.0,primaria
51.0,5.0,femenino,13.0,nieto (a),soltero (a),no indigena,lee y escribe,1.0,primaria
51.0,6.0,femenino,6.0,nieto (a),,,,,
52.0,1.0,masculino,70.0,jefe (a),viudo (a),no indigena,lee y escribe,,diversificado
52.0,2.0,femenino,47.0,hijo (a),casado (a),no indigena,lee y escribe,,universitario
52.0,3.0,masculino,45.0,yerno - nuera,casado (a),no indigena,lee y escribe,,diversificado
52.0,4.0,femenino,14.0,nieto (a),soltero (a),no indigena,lee y escribe,1.0,primaria
52.0,5.0,masculino,12.0,nieto (a),soltero (a),no indigena,lee y escribe,3.0,primaria
52.0,6.0,masculino,9.0,nieto (a),,no indigena,lee y escribe,3.0,primaria
52.0,7.0,femenino,79.0,hermano (a),viudo (a),no indigena,lee y escribe,,primaria
52.0,8.0,masculino,41.0,otro pariente,soltero (a),no indigena,lee y escribe,,basicos
53.0,1.0,masculino,45.0,jefe (a),divorciado (a),no indigena,lee y escribe,,diversificado
53.0,2.0,masculino,22.0,hijo (a),soltero (a),no indigena,lee y escribe,2.0,diversificado
54.0,1.0,masculino,38.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
54.0,2.0,femenino,41.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
54.0,3.0,femenino,18.0,hijo (a),soltero (a),no indigena,lee y escribe,6.0,diversificado
54.0,4.0,masculino,13.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,primaria
54.0,5.0,femenino,7.0,hijo (a),,no indigena,no lee ni escribe,1.0,
55.0,1.0,femenino,57.0,jefe (a),separado (a) de matrimonio,no indigena,lee y escribe,,primaria
55.0,2.0,masculino,18.0,nieto (a),soltero (a),no indigena,lee y escribe,,basicos
55.0,3.0,femenino,15.0,nieto (a),soltero (a),no indigena,lee y escribe,2.0,basicos
55.0,4.0,masculino,12.0,nieto (a),soltero (a),no indigena,lee y escribe,5.0,primaria
56.0,1.0,masculino,27.0,jefe (a),casado (a),no indigena,lee y escribe,5.0,universitario
56.0,2.0,femenino,22.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
56.0,3.0,femenino,7.0,hijo (a),,no indigena,lee y escribe,1.0,
57.0,1.0,femenino,40.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
57.0,2.0,masculino,39.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
57.0,3.0,masculino,9.0,hijo (a),,no indigena,no lee ni escribe,,
58.0,1.0,masculino,80.0,jefe (a),casado (a),no indigena,lee y escribe,,primaria
58.0,2.0,femenino,70.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,primaria
58.0,3.0,femenino,44.0,yerno - nuera,separado (a) de matrimonio,no indigena,lee y escribe,,basicos
59.0,1.0,femenino,53.0,jefe (a),casado (a),no indigena,lee y escribe,,preparatoria
59.0,2.0,masculino,52.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,preparatoria
59.0,3.0,femenino,18.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,diversificado
60.0,1.0,femenino,47.0,jefe (a),viudo (a),no indigena,lee y escribe,,primaria
60.0,2.0,femenino,17.0,hijo (a),soltero (a),no indigena,lee y escribe,6.0,diversificado
61.0,1.0,masculino,30.0,jefe (a),casado (a),no indigena,lee y escribe,5.0,diversificado
61.0,2.0,femenino,21.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
61.0,3.0,femenino,1.0,hijo (a),,,,,
62.0,1.0,femenino,43.0,jefe (a),unido (a),no indigena,lee y escribe,,diversificado
62.0,2.0,masculino,36.0,esposo (a) o compaÑero (a),unido (a),no indigena,lee y escribe,,diversificado
62.0,3.0,femenino,14.0,hijo (a),soltero (a),no indigena,lee y escribe,3.0,basicos
62.0,4.0,femenino,10.0,hijo (a),soltero (a),no indigena,lee y escribe,4.0,primaria
63.0,1.0,masculino,32.0,jefe (a),casado (a),no indigena,lee y escribe,,
63.0,2.0,femenino,25.0,esposo (a) o compaÑero (a),unido (a),no indigena,no lee ni escribe,,
63.0,3.0,masculino,2.0,hijo (a),,,,,
64.0,2.0,femenino,30.0,jefe (a),unido (a),no indigena,lee y escribe,,basicos
64.0,3.0,masculino,0.0,hijo (a),,,,,
65.0,1.0,masculino,37.0,jefe (a),casado (a),kaqchikel,lee y escribe,,basicos
65.0,2.0,femenino,43.0,esposo (a) o compaÑero (a),casado (a),kaqchikel,lee y escribe,,
65.0,3.0,femenino,16.0,hijo (a),soltero (a),kaqchikel,lee y escribe,4.0,basicos
65.0,4.0,masculino,15.0,hijo (a),soltero (a),kaqchikel,lee y escribe,3.0,
65.0,5.0,masculino,13.0,hijo (a),soltero (a),kaqchikel,lee y escribe,6.0,preparatoria
66.0,1.0,femenino,45.0,jefe (a),soltero (a),no indigena,lee y escribe,,primaria
66.0,2.0,masculino,23.0,hijo (a),soltero (a),no indigena,lee y escribe,,primaria
66.0,3.0,femenino,18.0,hijo (a),soltero (a),no indigena,lee y escribe,5.0,diversificado
67.0,2.0,femenino,31.0,jefe (a),casado (a),no indigena,lee y escribe,,preparatoria
67.0,3.0,masculino,13.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,preparatoria
67.0,4.0,masculino,7.0,hijo (a),,no indigena,lee y escribe,1.0,
68.0,1.0,masculino,38.0,jefe (a),casado (a),otro maya,lee y escribe,,diversificado
68.0,2.0,femenino,34.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,4.0,preparatoria
68.0,3.0,masculino,0.0,hijo (a),,,,,
69.0,1.0,masculino,35.0,jefe (a),casado (a),no indigena,lee y escribe,,preparatoria
69.0,2.0,femenino,33.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,preparatoria
69.0,3.0,femenino,14.0,hijo (a),soltero (a),no indigena,lee y escribe,1.0,preparatoria
69.0,4.0,masculino,9.0,hijo (a),,no indigena,lee y escribe,1.0,primaria
70.0,1.0,masculino,58.0,jefe (a),casado (a),no indigena,lee y escribe,,post-grado
70.0,2.0,femenino,50.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,2.0,post-grado
70.0,3.0,masculino,27.0,hijo (a),soltero (a),no indigena,lee y escribe,2.0,post-grado
70.0,4.0,masculino,23.0,hijo (a),soltero (a),no indigena,lee y escribe,3.0,universitario
71.0,1.0,masculino,61.0,jefe (a),casado (a),no indigena,lee y escribe,,diversificado
71.0,2.0,femenino,59.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,diversificado
71.0,3.0,masculino,35.0,hijo (a),soltero (a),no indigena,lee y escribe,,diversificado
72.0,1.0,masculino,29.0,jefe (a),casado (a),no indigena,lee y escribe,,universitario
72.0,2.0,femenino,27.0,esposo (a) o compaÑero (a),casado (a),no indigena,lee y escribe,,universitario
72.0,3.0,femenino,0.0,hijo (a),,,,,
73.0,1.0,masculino,80.0,jefe (a),casado (a),no indigena,lee y escribe,,
73.0,2.0,femenino,75.0,esposo (a) o compaÑero (a),casado (a),no indigena,no lee ni escribe,,
