hhid,caso,p10d01,p10d03,p10d04,p10d06,p10e05a
1.0,1.0,,,,,
1.0,2.0,no,,,,
1.0,3.0,no,,,,
2.0,1.0,no,,,,
2.0,2.0,,,,,
2.0,3.0,no,,,,
3.0,1.0,no,,,,
3.0,2.0,,,,,
3.0,3.0,,,,,
3.0,4.0,,,,,
3.0,5.0,,,,,
3.0,6.0,si, tecnicos y profesionales de nivel medio, comercio,como empleado u obrero de una empresa privada,
4.0,1.0,,,,,
5.0,1.0,no,,,,
5.0,2.0,no,,,,
5.0,3.0,,,,,
6.0,1.0,no,,,,
6.0,2.0,,,,,
6.0,5.0,,,,,
7.0,1.0,,,,,
7.0,2.0,no,,,,
7.0,3.0,,,,,
8.0,1.0,no,,,,
8.0,2.0,no,,,,
8.0,3.0,no,,,,
9.0,1.0,no,,,,
9.0,2.0,no,,,,
10.0,1.0,no,,,,
10.0,2.0,no,,,,
10.0,3.0,no,,,,
10.0,4.0,no,,,,
11.0,1.0,no,,,,
11.0,2.0,no,,,,
11.0,3.0,no,,,,
11.0,4.0,,,,,
11.0,5.0,,,,,
11.0,6.0,,,,,
12.0,1.0,no,,,,
12.0,2.0,,,,,
12.0,3.0,,,,,
12.0,4.0,no,,,,
13.0,1.0,no,,,,
13.0,2.0,,,,,
13.0,3.0,no,,,,
14.0,1.0,,,,,
14.0,2.0,,,,,
15.0,1.0,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,
15.0,2.0,no,,,,
15.0,3.0,no,,,,
15.0,4.0,no,,,,
15.0,5.0,,,,,
16.0,1.0,,,,,
17.0,1.0,,,,,
18.0,1.0,no,,,,
18.0,2.0,no,,,,
18.0,3.0,no,,,,
18.0,4.0,no,,,,
18.0,5.0,no,,,,
18.0,6.0,no,,,,
18.0,7.0,,,,,
18.0,10.0,,,,,
19.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,
19.0,2.0,,,,,
20.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,
20.0,2.0,,,,,
21.0,1.0,,,,,
21.0,2.0,no,,,,
22.0,1.0,no,,,,
23.0,1.0,no,,,,
23.0,2.0,no,,,,
24.0,1.0,no,,,,
24.0,2.0,no,,,,
25.0,1.0,no,,,,
25.0,2.0,no,,,,
26.0,1.0,no,,,,
26.0,2.0,no,,,,
26.0,3.0,si, empleados de oficina, servicios financieros,como empleado u obrero de una empresa privada,
26.0,4.0,no,,,,
26.0,5.0,,,,,
