hhid,p15b01,p15b02
1.0,no,
2.0,si,1.0
3.0,no,
4.0,no,
5.0,si,1.0
6.0,no,
7.0,no,
8.0,si,1.0
9.0,si,2.0
10.0,si,3.0
11.0,no,
12.0,si,1.0
13.0,no,
14.0,no,
15.0,si,2.0
16.0,no,
17.0,no,
18.0,si,1.0
19.0,si,1.0
20.0,no,
21.0,no,
22.0,no,
23.0,no,
24.0,si,1.0
25.0,si,1.0
26.0,si,1.0
27.0,si,1.0
28.0,si,1.0
29.0,si,1.0
30.0,si,3.0
31.0,no,
32.0,si,1.0
33.0,no,
34.0,si,1.0
35.0,no,
36.0,si,1.0
37.0,no,
38.0,no,
39.0,no,
40.0,no,
41.0,no,
42.0,si,2.0
43.0,si,1.0
44.0,no,
45.0,no,
46.0,no,
47.0,no,
48.0,si,2.0
49.0,no,
50.0,no,
51.0,no,
52.0,no,
53.0,no,
54.0,si,1.0
55.0,no,
56.0,si,2.0
57.0,si,2.0
58.0,no,
59.0,si,1.0
60.0,si,1.0
61.0,no,
62.0,no,
63.0,no,
64.0,no,
65.0,no,
66.0,no,
67.0,si,1.0
68.0,no,
69.0,si,3.0
70.0,si,1.0
71.0,no,
72.0,no,
73.0,no,
74.0,no,
75.0,si,1.0
76.0,no,
77.0,si,1.0
78.0,no,
79.0,no,
80.0,no,
81.0,si,1.0
82.0,no,
83.0,no,
84.0,si,1.0
85.0,si,2.0
86.0,si,2.0
87.0,no,
88.0,no,
89.0,no,
90.0,si,1.0
91.0,no,
92.0,no,
93.0,si,1.0
94.0,no,
95.0,no,
96.0,si,1.0
97.0,no,
98.0,no,
99.0,no,
100.0,no,
101.0,no,
102.0,si,1.0
103.0,no,
104.0,si,1.0
105.0,no,
106.0,no,
107.0,no,
108.0,no,
109.0,no,
110.0,no,
111.0,no,
112.0,no,
113.0,no,
114.0,si,1.0
115.0,si,1.0
116.0,no,
117.0,no,
118.0,no,
119.0,no,
120.0,no,
121.0,no,
122.0,no,
123.0,si,1.0
124.0,no,
125.0,no,
126.0,si,1.0
127.0,no,
128.0,no,
129.0,no,
130.0,no,
131.0,no,
132.0,no,
133.0,si,1.0
134.0,si,2.0
135.0,no,
136.0,si,1.0
137.0,si,1.0
138.0,no,
139.0,si,4.0
140.0,no,
141.0,no,
142.0,no,
143.0,no,
144.0,no,
145.0,si,1.0
146.0,no,
147.0,no,
148.0,si,1.0
149.0,si,1.0
150.0,no,
151.0,no,
152.0,si,1.0
153.0,no,
154.0,no,
155.0,si,2.0
156.0,no,
157.0,no,
158.0,no,
159.0,no,
160.0,no,
161.0,no,
162.0,si,2.0
163.0,no,
164.0,si,1.0
165.0,si,1.0
166.0,no,
167.0,si,1.0
168.0,no,
169.0,no,
170.0,no,
171.0,si,1.0
172.0,no,
173.0,si,1.0
174.0,no,
175.0,no,
176.0,no,
177.0,no,
178.0,si,1.0
179.0,no,
180.0,si,1.0
181.0,si,2.0
182.0,no,
183.0,no,
184.0,no,
185.0,si,1.0
186.0,si,1.0
187.0,no,
188.0,si,1.0
189.0,no,
190.0,si,1.0
191.0,no,
192.0,si,1.0
193.0,no,
194.0,no,
195.0,no,
196.0,no,
197.0,no,
198.0,si,1.0
199.0,no,
200.0,si,1.0
201.0,no,
202.0,no,
203.0,no,
204.0,si,1.0
205.0,no,
206.0,no,
207.0,si,1.0
208.0,si,1.0
209.0,no,
210.0,no,
211.0,no,
212.0,no,
213.0,no,
214.0,si,1.0
215.0,no,
216.0,no,
217.0,no,
218.0,no,
219.0,si,1.0
220.0,no,
221.0,si,1.0
222.0,si,1.0
223.0,no,
224.0,no,
225.0,no,
226.0,si,1.0
227.0,no,
228.0,si,1.0
229.0,si,1.0
230.0,si,1.0
231.0,no,
232.0,si,1.0
233.0,si,2.0
234.0,si,2.0
235.0,no,
236.0,si,2.0
237.0,si,1.0
238.0,no,
239.0,no,
240.0,si,2.0
241.0,si,1.0
242.0,si,2.0
243.0,si,1.0
244.0,no,
245.0,no,
246.0,no,
247.0,si,1.0
248.0,si,1.0
249.0,no,
250.0,si,1.0
251.0,si,1.0
252.0,no,
253.0,si,1.0
254.0,si,1.0
255.0,no,
256.0,no,
257.0,no,
258.0,no,
259.0,si,1.0
260.0,no,
261.0,si,1.0
262.0,no,
263.0,no,
264.0,si,1.0
265.0,no,
266.0,si,1.0
267.0,no,
268.0,no,
269.0,si,1.0
270.0,no,
271.0,no,
272.0,no,
273.0,si,1.0
274.0,si,1.0
275.0,si,2.0
276.0,si,2.0
277.0,si,1.0
278.0,no,
279.0,si,1.0
280.0,si,2.0
281.0,si,1.0
282.0,no,
283.0,si,1.0
284.0,no,
285.0,no,
286.0,si,2.0
287.0,no,
288.0,si,2.0
289.0,no,
290.0,si,2.0
291.0,no,
292.0,no,
293.0,no,
294.0,no,
295.0,si,1.0
296.0,no,
297.0,no,
298.0,si,1.0
299.0,si,1.0
300.0,si,1.0
301.0,si,1.0
302.0,no,
303.0,no,
304.0,si,1.0
305.0,no,
306.0,no,
307.0,no,
308.0,no,
309.0,si,1.0
