hhid,p15b04
2.0, industria manufacturera
5.0, comercio
8.0, comercio
9.0, industria manufacturera
9.0, industria manufacturera
10.0, industria manufacturera
10.0, industria manufacturera
10.0, servicios financieros
12.0, comercio
15.0, industria manufacturera
15.0, industria manufacturera
18.0, comercio
19.0, comercio
24.0, comercio
25.0," servicios de salud, sociales y personales"
26.0, comercio
27.0, servicios financieros
28.0, comercio
29.0, servicios financieros
30.0, comercio
30.0," servicios de salud, sociales y personales"
30.0, comercio
32.0, comercio
34.0, industria manufacturera
36.0," servicios de salud, sociales y personales"
42.0, comercio
42.0, comercio
43.0, comercio
48.0, servicios financieros
48.0, comercio
54.0, servicios financieros
56.0, industria manufacturera
56.0, comercio
57.0," servicios de salud, sociales y personales"
57.0, industria manufacturera
59.0, comercio
60.0, comercio
67.0," servicios de salud, sociales y personales"
69.0, comercio
69.0, comercio
69.0," servicios de salud, sociales y personales"
70.0," servicios de salud, sociales y personales"
75.0," servicios de salud, sociales y personales"
77.0," servicios de salud, sociales y personales"
81.0, enseÑanza
84.0, construccion
85.0, construccion
85.0, comercio
86.0, comercio
86.0, comercio
90.0, industria manufacturera
93.0, comercio
96.0, industria manufacturera
102.0," servicios de salud, sociales y personales"
104.0, comercio
114.0, industria manufacturera
115.0, industria manufacturera
123.0, construccion
126.0, industria manufacturera
133.0, comercio
134.0, comercio
134.0, industria manufacturera
136.0, comercio
137.0, comercio
139.0, comercio
139.0, comercio
139.0," servicios de salud, sociales y personales"
139.0," servicios de salud, sociales y personales"
145.0, comercio
148.0, comercio
149.0, comercio
152.0, comercio
155.0," servicios de salud, sociales y personales"
155.0," agricultura, ganaderia, caza y pesca"
162.0, comercio
162.0, comercio
164.0, comercio
165.0, comercio
167.0, servicios financieros
171.0, comercio
173.0, industria manufacturera
178.0, industria manufacturera
180.0," servicios de salud, sociales y personales"
181.0," agricultura, ganaderia, caza y pesca"
181.0," agricultura, ganaderia, caza y pesca"
185.0," servicios de salud, sociales y personales"
186.0," servicios de salud, sociales y personales"
188.0, comercio
190.0, servicios financieros
192.0, comercio
198.0," servicios de salud, sociales y personales"
200.0," servicios de salud, sociales y personales"
204.0, industria manufacturera
207.0, construccion
208.0, comercio
214.0, comercio
219.0," transporte, almacenamiento y comunicaciones"
221.0, servicios financieros
222.0, enseÑanza
226.0, servicios financieros
228.0, construccion
