hhid,tipo,tcuerda,p16a07a,p16a07b
28.0,agricola,cuerda/tarea de 25 varas por lado,1.0,manzana
31.0,agricola,cuerda/tarea de 25 varas por lado,10.0,cuerda
297.0,agricola,cuerda/tarea de 25 varas por lado,10.0,manzana
363.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
378.0,agricola,cuerda/tarea de 25 varas por lado,5.0,manzana
471.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,3.0,cuerda
472.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,12.0,cuerda
477.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.5,cuerda
477.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,7.0,manzana
477.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,4.5,cuerda
478.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,manzana
508.0,agricola,cuerda/tarea de 30 varas por lado,4.0,cuerda
509.0,agricola,cuerda/tarea de 30 varas por lado,4.0,cuerda
511.0,agricola,cuerda/tarea de 30 varas por lado,15.0,cuerda
512.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,2.0,manzana
525.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
580.0,agricola,cuerda/tarea de 25 varas por lado,25.0,manzana
613.0,agricola,cuerda/tarea de 25 varas por lado,8.0,manzana
697.0,agricola,cuerda/tarea de 20 varas por lado,1.0,cuerda
698.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,cuerda
699.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,cuerda
700.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,17.0,cuerda
701.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,40.0,cuerda
702.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,cuerda
704.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,2.0,cuerda
714.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,cuerda
715.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
758.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,12.0,cuerda
759.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,16.0,cuerda
759.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,12.0,cuerda
760.0,agricola,cuerda/tarea de 30 varas por lado,18.0,cuerda
760.0,agricola,cuerda/tarea de 30 varas por lado,18.0,cuerda
761.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,12.0,cuerda
762.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,15.0,cuerda
762.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,15.0,cuerda
763.0,agricola,cuerda/tarea de 30 varas por lado,8.0,cuerda
763.0,agricola,cuerda/tarea de 30 varas por lado,14.0,cuerda
763.0,agricola,cuerda/tarea de 30 varas por lado,16.0,cuerda
764.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,14.0,cuerda
765.0,agricola,cuerda/tarea de 30 varas por lado,10.0,cuerda
765.0,agricola,cuerda/tarea de 30 varas por lado,10.0,cuerda
765.0,agricola,cuerda/tarea de 30 varas por lado,10.0,cuerda
765.0,agricola,cuerda/tarea de 30 varas por lado,8.0,cuerda
804.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,1.0,manzana
805.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,1.0,manzana
807.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,1.0,manzana
817.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,50.0,manzana
817.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,50.0,manzana
828.0,agricola,cuerda/tarea de 25 varas por lado,42.0,manzana
835.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.800000190734863,manzana
836.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,8.0,manzana
864.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,manzana
865.0,agricola,cuerda/tarea de 20 varas por lado,1.0,manzana
903.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
951.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
951.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
952.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
957.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
965.0,agricola,cuerda/tarea de 25 varas por lado,2.0,manzana
975.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,manzana
1017.0,agricola,cuerda/tarea de 25 varas por lado,5.0,manzana
1020.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
1024.0,agricola,cuerda/tarea de 25 varas por lado,6.0,cuerda
1024.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
1024.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
1025.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
1028.0,agricola,cuerda/tarea de 25 varas por lado,7.0,cuerda
1028.0,agricola,cuerda/tarea de 25 varas por lado,12.0,cuerda
1028.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
1030.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
1030.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
1030.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
1032.0,agricola,cuerda/tarea de 25 varas por lado,0.5,cuerda
1032.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
1034.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
1034.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
1035.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
1038.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
1039.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
1039.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
1041.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
1042.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
1042.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
1043.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
1046.0,agricola,cuerda/tarea de 40 varas por lado,3.0,cuerda
1047.0,agricola,cuerda/tarea de 30 varas por lado,2.0,cuerda
1049.0,agricola,cuerda/tarea de 30 varas por lado,2.0,cuerda
1054.0,agricola,cuerda/tarea de 30 varas por lado,4.0,cuerda
1054.0,agricola,cuerda/tarea de 30 varas por lado,3.0,cuerda
1055.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1055.0,agricola,cuerda/tarea de 40 varas por lado,4.0,cuerda
1063.0,agricola,cuerda/tarea de 30 varas por lado,1.0,cuerda
1076.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,2.0,cuerda
1076.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,5.0,cuerda
1079.0,agricola,cuerda/tarea de 30 varas por lado,2.0,cuerda
1081.0,agricola,cuerda/tarea de 30 varas por lado,5.0,cuerda
1084.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,15.0,cuerda
1094.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1107.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
1108.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1110.0,agricola,cuerda/tarea de 30 varas por lado,1.0,manzana
1132.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,3.0,cuerda
1135.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,cuerda
1138.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1142.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,32.0,manzana
1146.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,75.0,manzana
1149.0,agricola,cuerda/tarea de 20 varas por lado,3.0,cuerda
1151.0,agricola,cuerda/tarea de 40 varas por lado,2.0,cuerda
1157.0,agricola,cuerda/tarea de 20 varas por lado,7.0,cuerda
1158.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,2.0,cuerda
1159.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,2.0,cuerda
1161.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,18.0,cuerda
1161.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,2.0,cuerda
1165.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1165.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1166.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,10.0,cuerda
