region,area,hhid,thogar,factor
metropolitana,urbana,1.0,4.0,541.0
metropolitana,urbana,2.0,3.0,541.0
metropolitana,urbana,3.0,6.0,541.0
metropolitana,urbana,4.0,1.0,541.0
metropolitana,urbana,5.0,3.0,541.0
metropolitana,urbana,6.0,5.0,541.0
metropolitana,urbana,7.0,3.0,541.0
metropolitana,urbana,8.0,3.0,541.0
metropolitana,urbana,9.0,2.0,305.0
metropolitana,urbana,10.0,5.0,305.0
metropolitana,urbana,11.0,6.0,305.0
metropolitana,urbana,12.0,4.0,305.0
metropolitana,urbana,13.0,3.0,305.0
metropolitana,urbana,14.0,2.0,305.0
metropolitana,urbana,15.0,5.0,593.0
metropolitana,urbana,16.0,1.0,593.0
metropolitana,urbana,17.0,1.0,593.0
metropolitana,urbana,18.0,10.0,593.0
metropolitana,urbana,19.0,2.0,593.0
metropolitana,urbana,20.0,2.0,593.0
metropolitana,urbana,21.0,2.0,593.0
metropolitana,urbana,22.0,1.0,593.0
metropolitana,urbana,23.0,4.0,593.0
metropolitana,urbana,24.0,4.0,700.0
metropolitana,urbana,25.0,2.0,700.0
metropolitana,urbana,26.0,5.0,700.0
metropolitana,urbana,27.0,3.0,700.0
metropolitana,urbana,28.0,2.0,700.0
metropolitana,urbana,29.0,5.0,700.0
metropolitana,urbana,30.0,4.0,700.0
metropolitana,urbana,31.0,3.0,700.0
metropolitana,urbana,32.0,5.0,700.0
metropolitana,urbana,33.0,3.0,700.0
metropolitana,urbana,34.0,2.0,700.0
metropolitana,urbana,35.0,1.0,700.0
metropolitana,urbana,36.0,4.0,706.0
metropolitana,urbana,37.0,5.0,706.0
metropolitana,urbana,38.0,4.0,706.0
metropolitana,urbana,39.0,2.0,706.0
metropolitana,urbana,40.0,3.0,706.0
metropolitana,urbana,41.0,4.0,706.0
metropolitana,urbana,42.0,4.0,706.0
metropolitana,urbana,43.0,5.0,706.0
metropolitana,urbana,44.0,2.0,706.0
metropolitana,urbana,45.0,5.0,706.0
metropolitana,urbana,46.0,3.0,679.0
metropolitana,urbana,47.0,4.0,679.0
metropolitana,urbana,48.0,4.0,679.0
metropolitana,urbana,49.0,1.0,679.0
metropolitana,urbana,50.0,6.0,679.0
metropolitana,urbana,51.0,6.0,679.0
metropolitana,urbana,52.0,8.0,679.0
metropolitana,urbana,53.0,2.0,679.0
metropolitana,urbana,54.0,5.0,724.0
metropolitana,urbana,55.0,4.0,724.0
metropolitana,urbana,56.0,3.0,724.0
metropolitana,urbana,57.0,3.0,724.0
metropolitana,urbana,58.0,3.0,724.0
metropolitana,urbana,59.0,3.0,724.0
metropolitana,urbana,60.0,2.0,724.0
metropolitana,urbana,61.0,3.0,724.0
metropolitana,urbana,62.0,4.0,724.0
metropolitana,urbana,63.0,3.0,1241.0
metropolitana,urbana,64.0,3.0,1241.0
metropolitana,urbana,65.0,5.0,1241.0
