module,module description,variable_name,variable_description,variable_description_en,included,comments,leo comments,updated_v2,updated_v3
HOGARES.DTA,Expansion factor per household,region,región político administrativa,administrative political region,yes,,,,
HOGARES.DTA,Expansion factor per household,area,area urbana o rural,urban or rural area,yes,,,,
HOGARES.DTA,Expansion factor per household,hogar,hogar #: identificador único para cada hogar,household #: unique identifier for each household,yes,,,,
HOGARES.DTA,Expansion factor per household,thogar,# de personas en el hogar (# real),# of people in the household (actual #),yes,,,,
HOGARES.DTA,Expansion factor per household,pobreza,clasificación de pobreza,poverty classification,no,,,,
HOGARES.DTA,Expansion factor per household,factor,factor de expansión relacionado a lista.p,expansion factor related to lista.p,yes,,This might be the household weight we want,"yes, this is the survey weight",
HOGARES.DTA,Expansion factor per household,factor2,factor de expansión relacionado a thogar,expansion factor related to thogar,no,,,this is same value with factor above,
HOGARES.DTA,Expansion factor per household,lista_p,# de personas con información,# of people with information,no,same values with thogar,,,
HOGARES.DTA,Expansion factor per household,factor3,factor2 * thogar,factor2*thogar,no,,or this might be the household weight we want,this is personal-level weight,
AUTOIDH.DTA,This data file contains individual data related self identification on ethnicity.,hogar,NUMERO DE HOGAR,HOUSEHOLD NUMBER,yes,use for merging data,,,
AUTOIDH.DTA,This data file contains individual data related self identification on ethnicity.,idenho_1,autoidentidad,self-identity,yes," including a specific ethnic name (e.g. ""Otro Maya"", ""No indigena"", ""Kaqchiquel"")",,,
AUTOIDH.DTA,This data file contains individual data related self identification on ethnicity.,getnicoh,,indigenous group or not,yes,,,,
ECV02H01.DTA,Energy Sources.,region,region politico administrativa,administrative political region,no,duplicated,,,
ECV02H01.DTA,Energy Sources.,area,area  urbana/rural,urban/rural area,no,,,,
ECV02H01.DTA,Energy Sources.,factor,factor de expansion,expansion factor,no,,,,
ECV02H01.DTA,Energy Sources.,hogar,numero de hogar,household number,yes,,,,
ECV02H01.DTA,Energy Sources.,thogar,no. de personas en el hogar,No. of people in the home,no,,"include, unless we can this info another way","no, this is duplicated in module: AUTOIDH.DTA",
ECV02H01.DTA,Energy Sources.,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV02H01.DTA,Energy Sources.,item,codigo fuente de energia,Code for energy source,yes,,,,
ECV02H01.DTA,Energy Sources.,p01b01,compro  mes pasado,Bought in past month (yes/no),no,It can be used as a proxy indicator of reliance on external energy sources and can be partially mapped to energy instability,,,excluded because difficult to verify past month
ECV02H01.DTA,Energy Sources.,p01b02,consumio mes pasado,Consumed in past month (yes/no),no,"In combination with purchases, it reflects energy dependence and use",,,excluded because difficult to verify past month
ECV02H01.DTA,Energy Sources.,p01b03,aÑos  usa fuente de energia,Years using this energy source,no,"It is a ""historical time variable"" and does not meet the standards of observability and verification",,,
ECV02H01.DTA,Energy Sources.,p01b04a,proposito del uso - 1,purpose of use - 1 - Household,yes,Subjective use class variables that do not have a stable structure or validation path,Sounds like it‚Äôs impossible to extract  ‚Äúheating‚Äù vs ‚Äúlighting‚Äù vs ‚Äúcooking‚Äù etc?,"yes, after checking orignial survey. these four purposes are: Household, Cooking, HH business and Other",
ECV02H01.DTA,Energy Sources.,p01b04b,proposito del uso - 2,purpose of use - 2 - Cooking,yes,,,remained,
ECV02H01.DTA,Energy Sources.,p01b04c,proposito del uso - 3,purpose of use - 3 - Househould business,yes,,,remained,
ECV02H01.DTA,Energy Sources.,p01b04d,proposito del uso - 4,purpose of use - 4 - other,yes,,,remained,
ECV02H01.DTA,Energy Sources.,p01b05a,porcentaje del uso -  1,usage percentage - 1,no,,,,
ECV02H01.DTA,Energy Sources.,p01b05b,porcentaje del uso -  2,usage percentage - 2,no,,,,
ECV02H01.DTA,Energy Sources.,p01b05c,porcentaje del uso -  3,usage percentage - 3,no,,,,
ECV02H01.DTA,Energy Sources.,p01b05d,porcentaje del uso -  4,usage percentage - 4,no,,,,
ECV02H01.DTA,Energy Sources.,p01b06a,cantidad compra o consume,Quantity purchased or consumed,no,,,,
ECV02H01.DTA,Energy Sources.,p01b06b,unidad de medida,Unit of measurement,no,,,,
ECV02H01.DTA,Energy Sources.,p01b07,valor pagado,Amount paid,no,,,,
CONSUMO5.DTA,Total consumption per household,region,region politico administrativa,administrative political region,no,,,,
CONSUMO5.DTA,Total consumption per household,depto,departamento,department,yes,,,,
CONSUMO5.DTA,Total consumption per household,mupio,municipio,municipality,yes,,,,
CONSUMO5.DTA,Total consumption per household,area,area  urbana/rural,urban/rural area,no,duplicated,,,
CONSUMO5.DTA,Total consumption per household,sector,numero del sector,sector number ,yes,,,,
CONSUMO5.DTA,Total consumption per household,segmento,segmento compacto,Compact segment,no,,,,
